product,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,decision,current_market_data_file_id
cs,cs.MAIN,1w,55829,rqdata_cs_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55829
cs,cs.MAIN,1w,79776,rqdata_cs_standard_1w_20141219_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1w_20141219_20260711_v2.parquet,2014-12-19T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55829
cu,cu.MAIN,1w,55831,rqdata_cu_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55831
cu,cu.MAIN,1w,82667,rqdata_cu_standard_1w_20000104_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1w_20000104_20260711_v2.parquet,2000-01-07T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55831
cy,cy.MAIN,1w,55833,rqdata_cy_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55833
cy,cy.MAIN,1w,79778,rqdata_cy_standard_1w_20170818_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_1w_20170818_20260711_v2.parquet,2017-08-18T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55833
eb,eb.MAIN,1w,55835,rqdata_eb_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=eb/contract=eb.MAIN/eb_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55835
eb,eb.MAIN,1w,79779,rqdata_eb_standard_1w_20190926_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=eb/contract=eb.MAIN/eb_MAIN_1w_20190926_20260711_v2.parquet,2019-09-27T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55835
eg,eg.MAIN,1w,55839,rqdata_eg_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=eg/contract=eg.MAIN/eg_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55839
eg,eg.MAIN,1w,79780,rqdata_eg_standard_1w_20181210_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=eg/contract=eg.MAIN/eg_MAIN_1w_20181210_20260711_v2.parquet,2018-12-14T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55839
fb,fb.MAIN,1w,55841,rqdata_fb_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55841
fb,fb.MAIN,1w,79781,rqdata_fb_standard_1w_20131206_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1w_20131206_20260711_v2.parquet,2013-12-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55841
fg,fg.MAIN,1w,55843,rqdata_fg_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55843
fg,fg.MAIN,1w,79782,rqdata_fg_standard_1w_20121203_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_1w_20121203_20260711_v2.parquet,2012-12-07T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55843
fu,fu.MAIN,1w,55845,rqdata_fu_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=fu/contract=fu.MAIN/fu_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55845
fu,fu.MAIN,1w,79783,rqdata_fu_standard_1w_20040825_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=fu/contract=fu.MAIN/fu_MAIN_1w_20040825_20260711_v2.parquet,2004-08-27T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55845
hc,hc.MAIN,1w,55847,rqdata_hc_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=hc/contract=hc.MAIN/hc_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55847
hc,hc.MAIN,1w,79784,rqdata_hc_standard_1w_20140321_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=hc/contract=hc.MAIN/hc_MAIN_1w_20140321_20260711_v2.parquet,2014-03-21T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55847
i,i.MAIN,1w,55849,rqdata_i_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=i/contract=i.MAIN/i_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55849
i,i.MAIN,1w,79785,rqdata_i_standard_1w_20131018_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=i/contract=i.MAIN/i_MAIN_1w_20131018_20260711_v2.parquet,2013-10-18T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55849
ic,ic.MAIN,1w,55851,rqdata_ic_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55851
ic,ic.MAIN,1w,79786,rqdata_ic_standard_1w_20150416_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_1w_20150416_20260711_v2.parquet,2015-04-17T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55851
if,if.MAIN,1w,55853,rqdata_if_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55853
if,if.MAIN,1w,79787,rqdata_if_standard_1w_20100416_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1w_20100416_20260711_v2.parquet,2010-04-16T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55853
ih,ih.MAIN,1w,55855,rqdata_ih_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55855
ih,ih.MAIN,1w,79788,rqdata_ih_standard_1w_20150416_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1w_20150416_20260711_v2.parquet,2015-04-17T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55855
j,j.MAIN,1w,55859,rqdata_j_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=j/contract=j.MAIN/j_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55859
j,j.MAIN,1w,79789,rqdata_j_standard_1w_20110415_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=j/contract=j.MAIN/j_MAIN_1w_20110415_20260711_v2.parquet,2011-04-15T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55859
jd,jd.MAIN,1w,55861,rqdata_jd_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=jd/contract=jd.MAIN/jd_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55861
jd,jd.MAIN,1w,79790,rqdata_jd_standard_1w_20131108_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=jd/contract=jd.MAIN/jd_MAIN_1w_20131108_20260711_v2.parquet,2013-11-08T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55861
jm,jm.MAIN,1w,55863,rqdata_jm_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55863
jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1w_20130322_20260711_v2.parquet,2013-03-22T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55863
jr,jr.MAIN,1w,55865,rqdata_jr_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55865
jr,jr.MAIN,1w,79792,rqdata_jr_standard_1w_20131118_20260711_v2,warning,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20131118_20260711_v2.parquet,2013-11-22T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55865
l,l.MAIN,1w,55867,rqdata_l_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=l/contract=l.MAIN/l_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55867
l,l.MAIN,1w,79793,rqdata_l_standard_1w_20070731_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=l/contract=l.MAIN/l_MAIN_1w_20070731_20260711_v2.parquet,2007-08-03T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55867
m,m.MAIN,1w,55879,rqdata_m_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=m/contract=m.MAIN/m_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55879
m,m.MAIN,1w,79794,rqdata_m_standard_1w_20000717_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=m/contract=m.MAIN/m_MAIN_1w_20000717_20260711_v2.parquet,2000-07-21T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55879
ma,ma.MAIN,1w,55881,rqdata_ma_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ma/contract=ma.MAIN/ma_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55881
ma,ma.MAIN,1w,79795,rqdata_ma_standard_1w_20140617_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ma/contract=ma.MAIN/ma_MAIN_1w_20140617_20260711_v2.parquet,2014-06-20T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55881
ni,ni.MAIN,1w,55883,rqdata_ni_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ni/contract=ni.MAIN/ni_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55883
ni,ni.MAIN,1w,79796,rqdata_ni_standard_1w_20150327_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ni/contract=ni.MAIN/ni_MAIN_1w_20150327_20260711_v2.parquet,2015-03-27T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55883
nr,nr.MAIN,1w,55885,rqdata_nr_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=nr/contract=nr.MAIN/nr_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55885
nr,nr.MAIN,1w,79797,rqdata_nr_standard_1w_20190812_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=nr/contract=nr.MAIN/nr_MAIN_1w_20190812_20260711_v2.parquet,2019-08-16T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55885
oi,oi.MAIN,1w,55887,rqdata_oi_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55887
oi,oi.MAIN,1w,79798,rqdata_oi_standard_1w_20120716_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_1w_20120716_20260711_v2.parquet,2012-07-20T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55887
