classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,error_type,error_message
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pg,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pg year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pk,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pk year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pm,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pm year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pp,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pp year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rb,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=rb year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ri,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=ri year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rm,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=rm year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rr,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=rr year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rs,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=rs year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ru,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=ru year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sa,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=sa year=2022
