profile_id,instrument_symbol,contract_code,period,status,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,target_start,target_end,covers_target,selection_reason,block_reason
intraday_research_v1,lh,lh.MAIN,1m,would_change,56015,71546,rqdata_lh_standard_1m_20230103_20260711_v2,rqdata_lh_standard_1m_20210108_20260711_v2,2021-01-08,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,lu,lu.MAIN,1m,would_change,56016,71525,rqdata_lu_standard_1m_20230103_20260711_v2,rqdata_lu_standard_1m_20200622_20260711_v2,2020-06-22,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,m,m.MAIN,1m,would_change,56017,82764,rqdata_m_standard_1m_20230103_20260711_v2,rqdata_m_standard_1m_20000717_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ma,ma.MAIN,1m,would_change,56018,82754,rqdata_ma_standard_1m_20230103_20260711_v2,rqdata_ma_standard_1m_20140617_20260711_v2,2014-06-17,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ni,ni.MAIN,1m,would_change,56019,82748,rqdata_ni_standard_1m_20230103_20260711_v2,rqdata_ni_standard_1m_20150327_20260711_v2,2015-03-27,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,nr,nr.MAIN,1m,would_change,56020,82736,rqdata_nr_standard_1m_20230103_20260711_v2,rqdata_nr_standard_1m_20190812_20260711_v2,2019-08-12,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,oi,oi.MAIN,1m,would_change,56021,82785,rqdata_oi_standard_1m_20230103_20260711_v2,rqdata_oi_standard_1m_20120716_20260711_v2,2012-07-16,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,op,op.MAIN,1m,would_change,56022,71669,rqdata_op_standard_1m_20230103_20260711_v2,rqdata_op_standard_1m_20230103_20260712_v2,2025-09-10,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,p,p.MAIN,1m,would_change,56023,82775,rqdata_p_standard_1m_20230103_20260711_v2,rqdata_p_standard_1m_20071029_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,pb,pb.MAIN,1m,would_change,56024,82781,rqdata_pb_standard_1m_20230103_20260711_v2,rqdata_pb_standard_1m_20110324_20260711_v2,2011-03-24,2026-07-10,True,covers_target_canonical_current,
