instrument_symbol,contract_code,period,primary_count
p,p.MAIN,1w,4
p,p.MAIN,30m,2
p,p.MAIN,5m,2
p,p.MAIN,60m,2
pb,PB2608,15m,3
pb,PB2608,1d,3
pb,PB2608,1m,3
pb,PB2608,30m,3
pb,PB2608,5m,3
pb,PB2608,60m,3
pb,pb.MAIN,15m,2
pb,pb.MAIN,1d,4
pb,pb.MAIN,1m,2
pb,pb.MAIN,1w,4
pb,pb.MAIN,30m,2
pb,pb.MAIN,5m,2
pb,pb.MAIN,60m,2
pd,PD2608,15m,3
pd,PD2608,1d,3
pd,PD2608,1m,3
pd,PD2608,30m,3
pd,PD2608,5m,3
pd,PD2608,60m,3
pd,pd.MAIN,15m,2
pd,pd.MAIN,1d,3
pd,pd.MAIN,1m,2
pd,pd.MAIN,1w,3
pd,pd.MAIN,30m,2
pd,pd.MAIN,5m,2
pd,pd.MAIN,60m,2
pf,PF2609,15m,3
pf,PF2609,1d,3
pf,PF2609,1m,3
pf,PF2609,30m,3
pf,PF2609,5m,3
pf,PF2609,60m,3
pf,pf.MAIN,15m,2
pf,pf.MAIN,1d,4
pf,pf.MAIN,1m,2
pf,pf.MAIN,1w,5
pf,pf.MAIN,30m,2
pf,pf.MAIN,5m,2
pf,pf.MAIN,60m,2
pg,PG2608,15m,3
pg,PG2608,1d,3
pg,PG2608,1m,3
pg,PG2608,30m,3
pg,PG2608,5m,3
pg,PG2608,60m,3
pg,pg.MAIN,15m,2
pg,pg.MAIN,1d,4
pg,pg.MAIN,1m,2
pg,pg.MAIN,1w,4
pg,pg.MAIN,30m,2
pg,pg.MAIN,5m,2
pg,pg.MAIN,60m,2
pk,PK2304,1d,2
pk,PK2610,15m,3
pk,PK2610,1d,3
pk,PK2610,1m,3
pk,PK2610,30m,3
pk,PK2610,5m,3
pk,PK2610,60m,3
pk,pk.MAIN,15m,2
pk,pk.MAIN,1d,4
pk,pk.MAIN,1m,2
pk,pk.MAIN,1w,4
pk,pk.MAIN,30m,2
pk,pk.MAIN,5m,2
pk,pk.MAIN,60m,2
pl,PL2609,15m,3
pl,PL2609,1d,3
pl,PL2609,1m,3
pl,PL2609,30m,3
pl,PL2609,5m,3
pl,PL2609,60m,3
pl,pl.MAIN,15m,2
pl,pl.MAIN,1d,3
pl,pl.MAIN,1m,2
pl,pl.MAIN,1w,3
pl,pl.MAIN,30m,2
pl,pl.MAIN,5m,2
pl,pl.MAIN,60m,2
pm,PM2301,1d,2
pm,PM2607,15m,3
pm,PM2607,1d,3
pm,PM2607,1m,3
pm,PM2607,30m,3
pm,PM2607,5m,3
pm,PM2607,60m,3
pm,pm.MAIN,15m,2
pm,pm.MAIN,1d,4
pm,pm.MAIN,1m,2
pm,pm.MAIN,1w,4
pm,pm.MAIN,30m,2
pm,pm.MAIN,5m,2
pm,pm.MAIN,60m,2
pp,PP2609,15m,3
