product,contract,period,gap_type,final_classification,next_task,actual_status,audit_end,audit_status,binding_status,classification_source,contract_role,data_role,data_version,date_gap_count,db_market_data_file_id,detail,duplicate_active_count,duplicate_trade_dates,end_date,evidence_id,evidence_source,expected,expected_end,expected_start,gap_candidate,issue_class,issue_type,main_misuse_count,mapped_contracts_missing_bars,mapping_rows,max_trade_date,metadata_status,min_trade_date,missing_count,na_reason,physical_status,profile,provider,quality_status,recommended_next_task,row_count,standard_path,start_date,status,status_reason,symbol_or_contract,target_reason,unique_contracts,year,year/window
a,A2111,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2111_1w_20210729_20211014_v1,,66753.0,,0.0,,2021-10-08,market_data_file:66753,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,10.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2111/A2111_1w_20210729_20211014.parquet,2021-08-06,covered_passed,,A2111,actual_contract_discovered,,2021.0,2021.0
a,A2201,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2201_1d_20211015_20211201_v1,,66755.0,,0.0,,2021-12-01,market_data_file:66755,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,34.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2201/A2201_1d_20211015_20211201.parquet,2021-10-15,covered_passed,,A2201,actual_contract_discovered,,2021.0,2021.0
a,A2201,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2201_1m_20211015_20211201_v1,,96927.0,,0.0,,2021-12-01,market_data_file:96927,db_market_data_file,True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,11730.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2201/A2201_1m_20211015_20211201.parquet,2021-10-14,covered_passed,,A2201,actual_contract_discovered,,2021.0,2021.0
a,A2201,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2201_1w_20211015_20211201_v1,,66757.0,,0.0,,2021-11-26,market_data_file:66757,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,6.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2201/A2201_1w_20211015_20211201.parquet,2021-10-22,covered_passed,,A2201,actual_contract_discovered,,2021.0,2021.0
a,A2203,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1d_20211202_20220217_v1,,66759.0,,0.0,,2022-02-17,market_data_file:66759,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,50.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2203/A2203_1d_20211202_20220217.parquet,2021-12-02,covered_passed,,A2203,actual_contract_discovered,,2021.0,2021.0
a,A2203,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1d_20211202_20220217_v1,,66759.0,,0.0,,2022-02-17,market_data_file:66759,"db_market_data_file,manifest",True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,50.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2203/A2203_1d_20211202_20220217.parquet,2021-12-02,covered_passed,,A2203,actual_contract_discovered,,2022.0,2022.0
a,A2203,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1m_20211202_20220217_v1,,96929.0,,0.0,,2022-02-17,market_data_file:96929,db_market_data_file,True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,17010.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2203/A2203_1m_20211202_20220217.parquet,2021-12-01,covered_passed,,A2203,actual_contract_discovered,,2021.0,2021.0
a,A2203,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1m_20211202_20220217_v1,,96929.0,,0.0,,2022-02-17,market_data_file:96929,db_market_data_file,True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,17010.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2203/A2203_1m_20211202_20220217.parquet,2021-12-01,covered_passed,,A2203,actual_contract_discovered,,2022.0,2022.0
a,A2203,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1w_20211202_20220217_v1,,66761.0,,0.0,,2022-02-11,market_data_file:66761,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,9.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2203/A2203_1w_20211202_20220217.parquet,2021-12-10,covered_passed,,A2203,actual_contract_discovered,,2021.0,2021.0
a,A2203,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2203_1w_20211202_20220217_v1,,66761.0,,0.0,,2022-02-11,market_data_file:66761,"db_market_data_file,manifest",True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,9.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2203/A2203_1w_20211202_20220217.parquet,2021-12-10,covered_passed,,A2203,actual_contract_discovered,,2022.0,2022.0
a,A2207,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2207_1d_20220218_20220615_v1,,66763.0,,0.0,,2022-06-15,market_data_file:66763,"db_market_data_file,manifest",True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,78.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2207/A2207_1d_20220218_20220615.parquet,2022-02-18,covered_passed,,A2207,actual_contract_discovered,,2022.0,2022.0
a,A2207,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2207_1m_20220218_20220615_v1,,96931.0,,0.0,,2022-06-15,market_data_file:96931,db_market_data_file,True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,26550.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2207/A2207_1m_20220218_20220615.parquet,2022-02-17,covered_passed,,A2207,actual_contract_discovered,,2022.0,2022.0
a,A2207,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2207_1w_20220218_20220615_v1,,66765.0,,0.0,,2022-06-10,market_data_file:66765,"db_market_data_file,manifest",True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,16.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2207/A2207_1w_20220218_20220615.parquet,2022-02-25,covered_passed,,A2207,actual_contract_discovered,,2022.0,2022.0
a,A2209,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2209_1d_20220616_20220823_v1,,66767.0,,0.0,,2022-08-23,market_data_file:66767,"db_market_data_file,manifest",True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,49.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2209/A2209_1d_20220616_20220823.parquet,2022-06-16,covered_passed,,A2209,actual_contract_discovered,,2022.0,2022.0
a,A2209,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2209_1m_20220616_20220823_v1,,96933.0,,0.0,,2022-08-23,market_data_file:96933,db_market_data_file,True,2022-12-31,2022-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,16905.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2209/A2209_1m_20220616_20220823.parquet,2022-06-15,covered_passed,,A2209,actual_contract_discovered,,2022.0,2022.0
