profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,cj,cj.MAIN,60m,cj|cj.MAIN|60m,checksum_not_verified,71588,rulebook
intraday_research_v1,cs,cs.MAIN,15m,cs|cs.MAIN|15m,checksum_not_verified,71402,rulebook
intraday_research_v1,cs,cs.MAIN,1d,cs|cs.MAIN|1d,sealing_unverified,56450,rulebook
intraday_research_v1,cs,cs.MAIN,1d,cs|cs.MAIN|1d,checksum_not_verified,82712,rulebook
intraday_research_v1,cs,cs.MAIN,1m,cs|cs.MAIN|1m,checksum_not_verified,71306,rulebook
intraday_research_v1,cs,cs.MAIN,1m,cs|cs.MAIN|1m,checksum_not_verified,82751,rulebook
intraday_research_v1,cs,cs.MAIN,30m,cs|cs.MAIN|30m,checksum_not_verified,71403,rulebook
intraday_research_v1,cs,cs.MAIN,5m,cs|cs.MAIN|5m,checksum_not_verified,71401,rulebook
intraday_research_v1,cs,cs.MAIN,60m,cs|cs.MAIN|60m,checksum_not_verified,71404,rulebook
intraday_research_v1,cu,cu.MAIN,15m,cu|cu.MAIN|15m,checksum_not_verified,71358,rulebook
intraday_research_v1,cu,cu.MAIN,1d,cu|cu.MAIN|1d,sealing_unverified,56452,rulebook
intraday_research_v1,cu,cu.MAIN,1d,cu|cu.MAIN|1d,checksum_not_verified,82670,rulebook
intraday_research_v1,cu,cu.MAIN,1m,cu|cu.MAIN|1m,checksum_not_verified,71295,rulebook
intraday_research_v1,cu,cu.MAIN,1m,cu|cu.MAIN|1m,checksum_not_verified,82762,rulebook
intraday_research_v1,cu,cu.MAIN,30m,cu|cu.MAIN|30m,checksum_not_verified,71359,rulebook
intraday_research_v1,cu,cu.MAIN,5m,cu|cu.MAIN|5m,checksum_not_verified,71357,rulebook
intraday_research_v1,cu,cu.MAIN,60m,cu|cu.MAIN|60m,checksum_not_verified,71360,rulebook
intraday_research_v1,cy,cy.MAIN,15m,cy|cy.MAIN|15m,checksum_not_verified,71406,rulebook
intraday_research_v1,cy,cy.MAIN,1d,cy|cy.MAIN|1d,sealing_unverified,56454,rulebook
intraday_research_v1,cy,cy.MAIN,1d,cy|cy.MAIN|1d,checksum_not_verified,82719,rulebook
intraday_research_v1,cy,cy.MAIN,1m,cy|cy.MAIN|1m,checksum_not_verified,71307,rulebook
intraday_research_v1,cy,cy.MAIN,1m,cy|cy.MAIN|1m,checksum_not_verified,82744,rulebook
intraday_research_v1,cy,cy.MAIN,30m,cy|cy.MAIN|30m,checksum_not_verified,71407,rulebook
intraday_research_v1,cy,cy.MAIN,5m,cy|cy.MAIN|5m,checksum_not_verified,71405,rulebook
intraday_research_v1,cy,cy.MAIN,60m,cy|cy.MAIN|60m,checksum_not_verified,71408,rulebook
intraday_research_v1,eb,eb.MAIN,15m,eb|eb.MAIN|15m,checksum_not_verified,71410,rulebook
intraday_research_v1,eb,eb.MAIN,1d,eb|eb.MAIN|1d,sealing_unverified,56456,rulebook
intraday_research_v1,eb,eb.MAIN,1d,eb|eb.MAIN|1d,checksum_not_verified,82730,rulebook
intraday_research_v1,eb,eb.MAIN,1m,eb|eb.MAIN|1m,checksum_not_verified,71308,rulebook
intraday_research_v1,eb,eb.MAIN,1m,eb|eb.MAIN|1m,checksum_not_verified,82733,rulebook
intraday_research_v1,eb,eb.MAIN,30m,eb|eb.MAIN|30m,checksum_not_verified,71411,rulebook
intraday_research_v1,eb,eb.MAIN,5m,eb|eb.MAIN|5m,checksum_not_verified,71409,rulebook
intraday_research_v1,eb,eb.MAIN,60m,eb|eb.MAIN|60m,checksum_not_verified,71412,rulebook
intraday_research_v1,ec,ec.MAIN,15m,ec|ec.MAIN|15m,checksum_not_verified,71719,rulebook
intraday_research_v1,ec,ec.MAIN,1d,ec|ec.MAIN|1d,checksum_not_verified,71658,rulebook
intraday_research_v1,ec,ec.MAIN,1m,ec|ec.MAIN|1m,checksum_not_verified,71657,rulebook
intraday_research_v1,ec,ec.MAIN,30m,ec|ec.MAIN|30m,checksum_not_verified,71720,rulebook
intraday_research_v1,ec,ec.MAIN,5m,ec|ec.MAIN|5m,checksum_not_verified,71718,rulebook
intraday_research_v1,ec,ec.MAIN,60m,ec|ec.MAIN|60m,checksum_not_verified,71721,rulebook
intraday_research_v1,eg,eg.MAIN,15m,eg|eg.MAIN|15m,checksum_not_verified,71414,rulebook
intraday_research_v1,eg,eg.MAIN,1d,eg|eg.MAIN|1d,sealing_unverified,56458,rulebook
intraday_research_v1,eg,eg.MAIN,1d,eg|eg.MAIN|1d,checksum_not_verified,82724,rulebook
intraday_research_v1,eg,eg.MAIN,1m,eg|eg.MAIN|1m,checksum_not_verified,71309,rulebook
intraday_research_v1,eg,eg.MAIN,1m,eg|eg.MAIN|1m,checksum_not_verified,82739,rulebook
intraday_research_v1,eg,eg.MAIN,30m,eg|eg.MAIN|30m,checksum_not_verified,71415,rulebook
intraday_research_v1,eg,eg.MAIN,5m,eg|eg.MAIN|5m,checksum_not_verified,71413,rulebook
intraday_research_v1,eg,eg.MAIN,60m,eg|eg.MAIN|60m,checksum_not_verified,71416,rulebook
intraday_research_v1,fb,fb.MAIN,15m,fb|fb.MAIN|15m,checksum_not_verified,71590,rulebook
intraday_research_v1,fb,fb.MAIN,1d,fb|fb.MAIN|1d,quality_policy_violation,56460,rulebook
intraday_research_v1,fb,fb.MAIN,1d,fb|fb.MAIN|1d,quality_policy_violation,82706,rulebook
intraday_research_v1,fb,fb.MAIN,1m,fb|fb.MAIN|1m,checksum_not_verified,71535,rulebook
intraday_research_v1,fb,fb.MAIN,1m,fb|fb.MAIN|1m,checksum_not_verified,82758,rulebook
intraday_research_v1,fb,fb.MAIN,30m,fb|fb.MAIN|30m,checksum_not_verified,71591,rulebook
intraday_research_v1,fb,fb.MAIN,5m,fb|fb.MAIN|5m,checksum_not_verified,71589,rulebook
intraday_research_v1,fb,fb.MAIN,60m,fb|fb.MAIN|60m,checksum_not_verified,71592,rulebook
intraday_research_v1,fg,fg.MAIN,15m,fg|fg.MAIN|15m,checksum_not_verified,71418,rulebook
intraday_research_v1,fg,fg.MAIN,1d,fg|fg.MAIN|1d,sealing_unverified,56462,rulebook
intraday_research_v1,fg,fg.MAIN,1d,fg|fg.MAIN|1d,checksum_not_verified,82696,rulebook
intraday_research_v1,fg,fg.MAIN,1m,fg|fg.MAIN|1m,checksum_not_verified,71310,rulebook
intraday_research_v1,fg,fg.MAIN,1m,fg|fg.MAIN|1m,checksum_not_verified,82788,rulebook
intraday_research_v1,fg,fg.MAIN,30m,fg|fg.MAIN|30m,checksum_not_verified,71419,rulebook
