product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
ma,dominant_main,1m,direct,2014-06-17,,absent,2014-06-17,2014-06-17,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ma,dominant_main,1w,direct,2014-06-17,,absent,2014-06-20,2014-06-20,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ma,dominant_main,30m,derived_from_1m,2014-06-17,,absent,2020-01-02,2014-06-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ma,dominant_main,5m,derived_from_1m,2014-06-17,,absent,2020-01-02,2014-06-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ma,dominant_main,60m,derived_from_1m,2014-06-17,,absent,2020-01-02,2014-06-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ni,dominant_main,15m,derived_from_1m,2015-03-27,,absent,2020-01-02,2015-03-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ni,dominant_main,1d,derived_from_1m,2015-03-27,,absent,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ni,dominant_main,1d,direct,2015-03-27,,absent,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ni,dominant_main,1m,direct,2015-03-27,,absent,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ni,dominant_main,1w,direct,2015-03-27,,absent,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ni,dominant_main,30m,derived_from_1m,2015-03-27,,absent,2020-01-02,2015-03-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ni,dominant_main,5m,derived_from_1m,2015-03-27,,absent,2020-01-02,2015-03-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ni,dominant_main,60m,derived_from_1m,2015-03-27,,absent,2020-01-02,2015-03-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
nr,dominant_main,15m,derived_from_1m,2019-08-12,,absent,2020-01-02,2019-08-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
nr,dominant_main,1d,derived_from_1m,2019-08-12,,absent,2019-08-12,2019-08-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
nr,dominant_main,1d,direct,2019-08-12,,absent,2019-08-12,2019-08-12,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
nr,dominant_main,1m,direct,2019-08-12,,absent,2019-08-12,2019-08-12,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
nr,dominant_main,1w,direct,2019-08-12,,absent,2019-08-16,2019-08-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
nr,dominant_main,30m,derived_from_1m,2019-08-12,,absent,2020-01-02,2019-08-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
nr,dominant_main,5m,derived_from_1m,2019-08-12,,absent,2020-01-02,2019-08-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
nr,dominant_main,60m,derived_from_1m,2019-08-12,,absent,2020-01-02,2019-08-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
oi,dominant_main,15m,derived_from_1m,2012-07-16,,absent,2020-01-02,2012-07-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
