product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason,physical_coverage,registration,quality,reference_metadata,evidence_path_count,identity_conflict
br,dominant_main,30m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
br,dominant_main,5m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
br,dominant_main,60m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bu,dominant_main,15m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bu,dominant_main,1d,derived_from_1m,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
bu,dominant_main,1d,direct,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
bu,dominant_main,1m,direct,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
bu,dominant_main,1w,direct,2013-10-09,,absent,2013-10-11,2013-10-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
bu,dominant_main,30m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bu,dominant_main,5m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bu,dominant_main,60m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bz,dominant_main,15m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bz,dominant_main,1d,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,4,False
bz,dominant_main,1d,direct,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bz,dominant_main,1m,direct,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bz,dominant_main,1w,direct,2025-07-08,,absent,2025-07-11,2025-07-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
bz,dominant_main,30m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bz,dominant_main,5m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
bz,dominant_main,60m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
c,dominant_main,15m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
c,dominant_main,1d,derived_from_1m,2004-09-22,,absent,2004-09-22,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
c,dominant_main,1d,direct,2004-09-22,,absent,2004-09-22,2004-09-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
c,dominant_main,1m,direct,2004-09-22,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
c,dominant_main,1w,direct,2004-09-22,,absent,2004-09-24,2004-09-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
c,dominant_main,30m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
c,dominant_main,5m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
c,dominant_main,60m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cf,dominant_main,15m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cf,dominant_main,1d,derived_from_1m,2004-06-01,,absent,2004-06-01,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
cf,dominant_main,1d,direct,2004-06-01,,absent,2004-06-01,2004-06-01,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cf,dominant_main,1m,direct,2004-06-01,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cf,dominant_main,1w,direct,2004-06-01,,absent,2004-06-04,2004-06-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cf,dominant_main,30m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cf,dominant_main,5m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cf,dominant_main,60m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cj,dominant_main,15m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cj,dominant_main,1d,derived_from_1m,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
cj,dominant_main,1d,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cj,dominant_main,1m,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cj,dominant_main,1w,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cj,dominant_main,30m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cj,dominant_main,5m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cj,dominant_main,60m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cs,dominant_main,15m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cs,dominant_main,1d,derived_from_1m,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
cs,dominant_main,1d,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cs,dominant_main,1m,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cs,dominant_main,1w,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cs,dominant_main,30m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cs,dominant_main,5m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cs,dominant_main,60m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cu,dominant_main,15m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cu,dominant_main,1d,derived_from_1m,1999-01-04,,absent,2000-01-05,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
cu,dominant_main,1d,direct,1999-01-04,,absent,2000-01-05,2000-01-05,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cu,dominant_main,1m,direct,1999-01-04,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
cu,dominant_main,1w,direct,1999-01-04,,absent,2000-01-07,2000-01-07,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,6,False
cu,dominant_main,30m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cu,dominant_main,5m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cu,dominant_main,60m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
cy,dominant_main,15m,derived_from_1m,2017-08-18,,absent,2020-01-02,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
