profile_id,product,period,quality_policy,active_binding_count,profile_eligibility,reason
intraday_research_v1,ec,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ec,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ec,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ec,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eg,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fb,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fg,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,fu,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,hc,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,i,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ic,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,if,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ih,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,im,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
