product,metadata_type,applicability,status,reason,evidence_start,evidence_end
ec,asset_registration,applicable,passed,registered_contract_listing,2023-08-18,2026-07-10
ec,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-08-18,2026-07-07
ec,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-10
ec,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-07
ec,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ec,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-10
ec,trading_session,applicable,unverified,historical_scope_unverified,,
eg,asset_registration,applicable,passed,registered_contract_listing,2018-12-10,2026-07-10
eg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
eg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-10
eg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-07
eg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
eg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-10
eg,trading_session,applicable,unverified,historical_scope_unverified,,
fb,asset_registration,applicable,passed,registered_contract_listing,2013-12-06,2026-07-10
fb,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10
fb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-07
fb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
fb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10
fb,trading_session,applicable,unverified,historical_scope_unverified,,
fg,asset_registration,applicable,passed,registered_contract_listing,2012-12-03,2026-07-10
fg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-07-10
fg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-06-24
fg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
fg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-12-03,2026-07-10
fg,trading_session,applicable,unverified,historical_scope_unverified,,
fu,asset_registration,applicable,passed,registered_contract_listing,2004-08-25,2026-07-10
fu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
fu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
fu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
fu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-11-01,2026-07-10
fu,trading_session,applicable,unverified,historical_scope_unverified,,
hc,asset_registration,applicable,passed,registered_contract_listing,2014-03-21,2026-07-10
hc,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
hc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-10
hc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-07
hc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
hc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-03-21,2026-07-10
hc,trading_session,applicable,unverified,historical_scope_unverified,,
i,asset_registration,applicable,passed,registered_contract_listing,2013-10-18,2026-07-10
i,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
i,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-10
i,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-07
i,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
i,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-10-18,2026-07-10
i,trading_session,applicable,unverified,historical_scope_unverified,,
ic,asset_registration,applicable,passed,registered_contract_listing,2015-04-16,2026-07-10
ic,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ic,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10
ic,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-06-24
ic,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ic,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10
ic,trading_session,applicable,unverified,historical_scope_unverified,,
if,asset_registration,applicable,passed,registered_contract_listing,2010-04-16,2026-07-10
if,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
if,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-07-10
if,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-06-24
if,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
if,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2010-04-16,2026-07-10
if,trading_session,applicable,unverified,historical_scope_unverified,,
ih,asset_registration,applicable,passed,registered_contract_listing,2015-04-16,2026-07-10
ih,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ih,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10
ih,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-06-24
ih,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ih,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10
ih,trading_session,applicable,unverified,historical_scope_unverified,,
im,asset_registration,applicable,passed,registered_contract_listing,2022-07-22,2026-07-10
im,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2022-07-22,2026-07-07
im,contract_universe,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-07-10
im,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-06-24
im,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
im,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-07-10
im,trading_session,applicable,unverified,historical_scope_unverified,,
j,asset_registration,applicable,passed,registered_contract_listing,2011-04-15,2026-07-10
j,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
j,contract_universe,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-10
j,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-07
j,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
j,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-10
j,trading_session,applicable,unverified,historical_scope_unverified,,
jd,asset_registration,applicable,passed,registered_contract_listing,2013-11-08,2026-07-10
jd,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jd,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-10
jd,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-07
jd,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
jd,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-10
jd,trading_session,applicable,unverified,historical_scope_unverified,,
jm,asset_registration,applicable,passed,registered_contract_listing,2013-03-22,2026-07-10
jm,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jm,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-10
jm,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-07
jm,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
jm,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-10
jm,trading_session,applicable,unverified,historical_scope_unverified,,
jr,asset_registration,applicable,passed,registered_contract_listing,2013-11-18,2026-07-10
jr,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
jr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-10
jr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-07
jr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
jr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-10
jr,trading_session,applicable,unverified,historical_scope_unverified,,
l,asset_registration,applicable,passed,registered_contract_listing,2007-07-31,2026-07-10
l,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
l,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
l,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2007-07-31,2026-07-07
l,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
l,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10
l,trading_session,applicable,unverified,historical_scope_unverified,,
l_f,asset_registration,applicable,passed,registered_contract_listing,2025-10-29,2026-07-10
l_f,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-10-29,2026-07-07
