product,contract,plan_status,reason,through,dataset,year,month,expected_start,expected_end,expected_bar_count,missing_start,missing_end,missing_bar_count
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,12,2022-12-02T07:00:00+00:00,2022-12-30T07:00:00+00:00,5,2022-12-02T07:00:00+00:00,2022-12-30T07:00:00+00:00,5
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2023,1,2023-01-06T07:00:00+00:00,2023-01-20T07:00:00+00:00,3,2023-01-06T07:00:00+00:00,2023-01-20T07:00:00+00:00,3
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2023,2,2023-02-03T07:00:00+00:00,2023-02-24T07:00:00+00:00,4,2023-02-03T07:00:00+00:00,2023-02-24T07:00:00+00:00,4
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2023,3,2023-03-03T07:00:00+00:00,2023-03-31T07:00:00+00:00,5,2023-03-03T07:00:00+00:00,2023-03-31T07:00:00+00:00,5
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,7,2022-07-15T07:00:00+00:00,2022-07-29T07:00:00+00:00,11,2022-07-15T07:00:00+00:00,2022-07-29T07:00:00+00:00,11
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,8,2022-08-01T07:00:00+00:00,2022-08-31T07:00:00+00:00,23,2022-08-01T07:00:00+00:00,2022-08-31T07:00:00+00:00,23
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,9,2022-09-01T07:00:00+00:00,2022-09-30T07:00:00+00:00,21,2022-09-01T07:00:00+00:00,2022-09-30T07:00:00+00:00,21
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,10,2022-10-10T07:00:00+00:00,2022-10-31T07:00:00+00:00,16,2022-10-10T07:00:00+00:00,2022-10-31T07:00:00+00:00,16
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,11,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2022,12,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2023,1,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2023,2,2023-02-01T07:00:00+00:00,2023-02-28T07:00:00+00:00,20,2023-02-01T07:00:00+00:00,2023-02-28T07:00:00+00:00,20
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2023,3,2023-03-01T07:00:00+00:00,2023-03-31T07:00:00+00:00,23,2023-03-01T07:00:00+00:00,2023-03-31T07:00:00+00:00,23
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2023,4,2023-04-03T07:00:00+00:00,2023-04-28T07:00:00+00:00,19,2023-04-03T07:00:00+00:00,2023-04-28T07:00:00+00:00,19
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1d""]",2023,5,2023-05-04T07:00:00+00:00,2023-05-31T07:00:00+00:00,20,2023-05-04T07:00:00+00:00,2023-05-12T07:00:00+00:00,7
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,7,2022-07-15T07:00:00+00:00,2022-07-29T07:00:00+00:00,3,2022-07-15T07:00:00+00:00,2022-07-29T07:00:00+00:00,3
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,8,2022-08-05T07:00:00+00:00,2022-08-26T07:00:00+00:00,4,2022-08-05T07:00:00+00:00,2022-08-26T07:00:00+00:00,4
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,9,2022-09-02T07:00:00+00:00,2022-09-30T07:00:00+00:00,5,2022-09-02T07:00:00+00:00,2022-09-30T07:00:00+00:00,5
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,10,2022-10-14T07:00:00+00:00,2022-10-28T07:00:00+00:00,3,2022-10-14T07:00:00+00:00,2022-10-28T07:00:00+00:00,3
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,11,2022-11-04T07:00:00+00:00,2022-11-25T07:00:00+00:00,4,2022-11-04T07:00:00+00:00,2022-11-25T07:00:00+00:00,4
PF,PF2307,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-06-02,"[""contract"", ""pf"", ""PF2307"", ""1w""]",2022,12,2022-12-02T07:00:00+00:00,2022-12-30T07:00:00+00:00,5,2022-12-02T07:00:00+00:00,2022-12-30T07:00:00+00:00,5
