profile_id,instrument_symbol,contract_code,period,previous_binding_id,previous_market_data_file_id,previous_data_version,next_market_data_file_id,next_data_version
long_horizon_daily_v1,lg,lg.MAIN,1w,2542,44151,rqdata_lg_standard_1w_20230103_20260707_v2,71668,rqdata_lg_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,m,m.MAIN,1d,2704,56492,rqdata_m_standard_1d_20200102_20260711_v2,82672,rqdata_m_standard_1d_20000717_20260711_v2
long_horizon_daily_v1,m,m.MAIN,1w,2705,56493,rqdata_m_standard_1w_20200102_20260711_v2,79794,rqdata_m_standard_1w_20000717_20260711_v2
long_horizon_daily_v1,ma,ma.MAIN,1d,2727,56494,rqdata_ma_standard_1d_20200102_20260711_v2,82709,rqdata_ma_standard_1d_20140617_20260711_v2
long_horizon_daily_v1,ma,ma.MAIN,1w,2728,56495,rqdata_ma_standard_1w_20200102_20260711_v2,79795,rqdata_ma_standard_1w_20140617_20260711_v2
long_horizon_daily_v1,ni,ni.MAIN,1d,2792,56496,rqdata_ni_standard_1d_20200102_20260711_v2,82714,rqdata_ni_standard_1d_20150327_20260711_v2
long_horizon_daily_v1,ni,ni.MAIN,1w,2793,56497,rqdata_ni_standard_1w_20200102_20260711_v2,79796,rqdata_ni_standard_1w_20150327_20260711_v2
long_horizon_daily_v1,nr,nr.MAIN,1d,2906,56498,rqdata_nr_standard_1d_20200102_20260711_v2,82727,rqdata_nr_standard_1d_20190812_20260711_v2
long_horizon_daily_v1,nr,nr.MAIN,1w,2907,56499,rqdata_nr_standard_1w_20200102_20260711_v2,79797,rqdata_nr_standard_1w_20190812_20260711_v2
long_horizon_daily_v1,oi,oi.MAIN,1d,2940,56500,rqdata_oi_standard_1d_20200102_20260711_v2,82693,rqdata_oi_standard_1d_20120716_20260711_v2
long_horizon_daily_v1,oi,oi.MAIN,1w,2941,56501,rqdata_oi_standard_1w_20200102_20260711_v2,79798,rqdata_oi_standard_1w_20120716_20260711_v2
long_horizon_daily_v1,op,op.MAIN,1d,2951,41156,rqdata_op_standard_1d_20230103_20260707_v2,71670,rqdata_op_standard_1d_20230103_20260712_v2
long_horizon_daily_v1,op,op.MAIN,1w,2952,55889,rqdata_op_standard_1w_20230103_20260711_v2,71671,rqdata_op_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,p,p.MAIN,1d,2983,56502,rqdata_p_standard_1d_20200102_20260711_v2,82682,rqdata_p_standard_1d_20071029_20260711_v2
long_horizon_daily_v1,p,p.MAIN,1w,2984,56503,rqdata_p_standard_1w_20200102_20260711_v2,79799,rqdata_p_standard_1w_20071029_20260711_v2
long_horizon_daily_v1,pb,pb.MAIN,1d,3060,56504,rqdata_pb_standard_1d_20200102_20260711_v2,82688,rqdata_pb_standard_1d_20110324_20260711_v2
long_horizon_daily_v1,pb,pb.MAIN,1w,3061,56505,rqdata_pb_standard_1w_20200102_20260711_v2,79800,rqdata_pb_standard_1w_20110324_20260711_v2
long_horizon_daily_v1,pd,pd.MAIN,1d,3064,41174,rqdata_pd_standard_1d_20230103_20260707_v2,71673,rqdata_pd_standard_1d_20230103_20260712_v2
long_horizon_daily_v1,pd,pd.MAIN,1w,3065,55713,rqdata_pd_standard_1w_20230103_20260710_v2,71674,rqdata_pd_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,pl,pl.MAIN,1d,3227,41179,rqdata_pl_standard_1d_20230103_20260707_v2,71676,rqdata_pl_standard_1d_20230103_20260712_v2
long_horizon_daily_v1,pl,pl.MAIN,1w,3228,55717,rqdata_pl_standard_1w_20230103_20260710_v2,71677,rqdata_pl_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,pp,pp.MAIN,1d,3289,56514,rqdata_pp_standard_1d_20200102_20260711_v2,82707,rqdata_pp_standard_1d_20140228_20260711_v2
long_horizon_daily_v1,pp,pp.MAIN,1w,3290,56515,rqdata_pp_standard_1w_20200102_20260711_v2,79802,rqdata_pp_standard_1w_20140228_20260711_v2
