candidate_id,product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,quality_status,row_count,db_market_data_file_id,standard_path,root_cause_bucket,candidate_apply_eligible,candidate_blocked_reason
source_interval_0012,oi,dominant_main,oi.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,19312,41147,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0012,oi,dominant_main,oi.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,19312,41147,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0012,oi,dominant_main,oi.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,19312,41147,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0013,a,dominant_main,a.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0013,a,dominant_main,a.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0013,a,dominant_main,a.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0013,a,dominant_main,a.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0014,b,dominant_main,b.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,19312,40926,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0014,b,dominant_main,b.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,19312,40926,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0014,b,dominant_main,b.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,19312,40926,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
