product,contract_role,symbol_or_contract,period,start_date,end_date,evidence_source,provider,data_role,quality_status,manifest_status,manifest_or_db_row_count,db_market_data_file_id,data_quality_report_status,physical_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,duckdb_error,checksum_status,row_count_status
al,actual_contract,AL2008,1d,2020-06-18,2020-07-28,manifest,rqdata,primary,passed,success,27,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1d_20200618_20200728.parquet,True,27,2020-06-18T00:00:00,2020-07-28T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2008,1w,2020-06-24,2020-07-24,manifest,rqdata,primary,passed,success,5,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1w_20200618_20200728.parquet,True,5,2020-06-24T00:00:00,2020-07-24T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2009,1d,2020-07-29,2020-08-26,manifest,rqdata,primary,passed,success,21,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1d_20200729_20200826.parquet,True,21,2020-07-29T00:00:00,2020-08-26T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2009,1w,2020-08-07,2020-08-21,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1w_20200729_20200826.parquet,True,3,2020-08-07T00:00:00,2020-08-21T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2010,1d,2020-08-27,2020-09-24,manifest,rqdata,primary,passed,success,21,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1d_20200827_20200924.parquet,True,21,2020-08-27T00:00:00,2020-09-24T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2010,1w,2020-09-04,2020-09-18,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1w_20200827_20200924.parquet,True,3,2020-09-04T00:00:00,2020-09-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2011,1d,2020-09-25,2020-10-29,manifest,rqdata,primary,passed,success,19,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2011/AL2011_1d_20200925_20201029.parquet,True,19,2020-09-25T00:00:00,2020-10-29T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2011,1w,2020-09-30,2020-10-23,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2011/AL2011_1w_20200925_20201029.parquet,True,4,2020-09-30T00:00:00,2020-10-23T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2012,1d,2020-10-30,2020-11-25,manifest,rqdata,primary,passed,success,19,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2012/AL2012_1d_20201030_20201125.parquet,True,19,2020-10-30T00:00:00,2020-11-25T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2012,1w,2020-11-06,2020-11-20,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2012/AL2012_1w_20201030_20201125.parquet,True,3,2020-11-06T00:00:00,2020-11-20T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2101,1d,2020-11-26,2020-12-22,manifest,rqdata,primary,passed,success,19,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2101/AL2101_1d_20201126_20201222.parquet,True,19,2020-11-26T00:00:00,2020-12-22T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2101,1w,2020-12-04,2020-12-18,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2101/AL2101_1w_20201126_20201222.parquet,True,3,2020-12-04T00:00:00,2020-12-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2102,1d,2020-12-23,2021-01-11,manifest,rqdata,primary,passed,success,13,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2102/AL2102_1d_20201223_20210111.parquet,True,13,2020-12-23T00:00:00,2021-01-11T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2102,1w,2020-12-31,2021-01-08,manifest,rqdata,primary,passed,success,2,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2102/AL2102_1w_20201223_20210111.parquet,True,2,2020-12-31T00:00:00,2021-01-08T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2103,1d,2021-01-12,2021-02-18,manifest,rqdata,primary,passed,success,23,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2103/AL2103_1d_20210112_20210218.parquet,True,23,2021-01-12T00:00:00,2021-02-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2103,1w,2021-01-22,2021-02-10,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2103/AL2103_1w_20210112_20210218.parquet,True,4,2021-01-22T00:00:00,2021-02-10T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2104,1d,2021-02-19,2021-03-12,manifest,rqdata,primary,passed,success,16,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2104/AL2104_1d_20210219_20210312.parquet,True,16,2021-02-19T00:00:00,2021-03-12T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2104,1w,2021-02-26,2021-03-12,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2104/AL2104_1w_20210219_20210312.parquet,True,3,2021-02-26T00:00:00,2021-03-12T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2105,1d,2021-03-15,2021-04-15,manifest,rqdata,primary,passed,success,23,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2105/AL2105_1d_20210315_20210415.parquet,True,23,2021-03-15T00:00:00,2021-04-15T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2105,1w,2021-03-19,2021-04-09,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2105/AL2105_1w_20210315_20210415.parquet,True,4,2021-03-19T00:00:00,2021-04-09T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2106,1d,2021-04-16,2021-05-17,manifest,rqdata,primary,passed,success,19,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2106/AL2106_1d_20210416_20210517.parquet,True,19,2021-04-16T00:00:00,2021-05-17T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2106,1w,2021-04-23,2021-05-14,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2106/AL2106_1w_20210416_20210517.parquet,True,4,2021-04-23T00:00:00,2021-05-14T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2107,1d,2021-05-18,2021-06-18,manifest,rqdata,primary,passed,success,23,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2107/AL2107_1d_20210518_20210618.parquet,True,23,2021-05-18T00:00:00,2021-06-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2107,1w,2021-05-28,2021-06-18,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2107/AL2107_1w_20210518_20210618.parquet,True,4,2021-05-28T00:00:00,2021-06-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2108,1d,2021-06-21,2021-07-20,manifest,rqdata,primary,passed,success,22,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2108/AL2108_1d_20210621_20210720.parquet,True,22,2021-06-21T00:00:00,2021-07-20T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2108,1w,2021-06-25,2021-07-16,manifest,rqdata,primary,passed,success,4,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2108/AL2108_1w_20210621_20210720.parquet,True,4,2021-06-25T00:00:00,2021-07-16T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2109,1d,2021-07-21,2021-08-18,manifest,rqdata,primary,passed,success,21,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2109/AL2109_1d_20210721_20210818.parquet,True,21,2021-07-21T00:00:00,2021-08-18T00:00:00,,checksum_unverified,matched
al,actual_contract,AL2109,1w,2021-07-30,2021-08-13,manifest,rqdata,primary,passed,success,3,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2109/AL2109_1w_20210721_20210818.parquet,True,3,2021-07-30T00:00:00,2021-08-13T00:00:00,,checksum_unverified,matched
