product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
si,2022-12-22,False,not_applicable,0,5,False,,,,,False,unchecked,coverage_missing
sm,2014-08-08,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sn,2015-03-27,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sp,2018-11-27,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sr,2006-01-06,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ss,2019-09-25,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
t,2015-03-20,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ta,2006-12-18,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
tf,2013-09-06,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
tl,2023-04-21,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
ts,2018-08-17,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ur,2019-08-09,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
v,2009-05-25,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
v_f,2025-10-29,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
wh,2012-07-24,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
wr,2009-03-27,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
y,2006-01-09,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
zc,2015-05-18,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
zn,2007-03-26,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
