issue_type,product,contract_role,symbol_or_contract,period,year,status,evidence_source,recommended_next_task,issue_class,upgrade_to_passed_allowed
missing_db_registration,a,dominant_main,a.MAIN,5m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,5m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,5m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,15m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,15m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,15m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,15m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,30m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,30m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,30m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,30m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,60m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,60m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,60m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,a,dominant_main,a.MAIN,60m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
