profile_id,instrument_symbol,contract_code,period,contract_role,target_start,target_end,target_ranges,lineage_required,evidence_source
intraday_research_v1,bc,bc.MAIN,15m,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bc,bc.MAIN,1d,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bc,bc.MAIN,1m,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,bc,bc.MAIN,30m,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bc,bc.MAIN,5m,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bc,bc.MAIN,60m,dominant_main,2020-11-19,2026-07-10,"[[""2020-11-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,15m,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,1d,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,1m,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,30m,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,5m,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,br,br.MAIN,60m,dominant_main,2023-07-28,2026-07-10,"[[""2023-07-28"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,15m,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,1d,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,1m,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,30m,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,5m,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bu,bu.MAIN,60m,dominant_main,2013-10-09,2026-07-10,"[[""2013-10-09"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bz,bz.MAIN,15m,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bz,bz.MAIN,1d,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bz,bz.MAIN,1m,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,bz,bz.MAIN,30m,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bz,bz.MAIN,5m,dominant_main,2025-07-08,2026-07-10,"[[""2025-07-08"",""2026-07-10""]]",True,audit_v2_expected_windows
