profile_id,instrument_symbol,contract_code,period,diff_status,expected_market_data_file_id,actual_market_data_file_id,expected_data_version,actual_data_version,active_match
intraday_research_v1,ri,ri.MAIN,1m,would_change,82786,82786,rqdata_ri_standard_1m_20120724_20260711_v2,rqdata_ri_standard_1m_20120724_20260711_v2,True
intraday_research_v1,rm,rm.MAIN,1m,would_change,82789,82789,rqdata_rm_standard_1m_20121228_20260711_v2,rqdata_rm_standard_1m_20121228_20260711_v2,True
intraday_research_v1,rr,rr.MAIN,1m,would_change,82735,82735,rqdata_rr_standard_1m_20190816_20260711_v2,rqdata_rr_standard_1m_20190816_20260711_v2,True
intraday_research_v1,rs,rs.MAIN,1m,would_change,82790,82790,rqdata_rs_standard_1m_20121228_20260711_v2,rqdata_rs_standard_1m_20121228_20260711_v2,True
intraday_research_v1,ru,ru.MAIN,1m,would_change,82763,82763,rqdata_ru_standard_1m_20000104_20260711_v2,rqdata_ru_standard_1m_20000104_20260711_v2,True
intraday_research_v1,sa,sa.MAIN,1m,would_change,82732,82732,rqdata_sa_standard_1m_20191206_20260711_v2,rqdata_sa_standard_1m_20191206_20260711_v2,True
intraday_research_v1,sc,sc.MAIN,1m,would_change,82742,82742,rqdata_sc_standard_1m_20180326_20260711_v2,rqdata_sc_standard_1m_20180326_20260711_v2,True
intraday_research_v1,sf,sf.MAIN,1m,would_change,82752,82752,rqdata_sf_standard_1m_20140808_20260711_v2,rqdata_sf_standard_1m_20140808_20260711_v2,True
intraday_research_v1,sh,sh.MAIN,1m,would_change,71693,71693,rqdata_sh_standard_1m_20230103_20260712_v2,rqdata_sh_standard_1m_20230103_20260712_v2,True
intraday_research_v1,si,si.MAIN,1m,would_change,71336,71336,rqdata_si_standard_1m_20221222_20260711_v2,rqdata_si_standard_1m_20221222_20260711_v2,True
intraday_research_v1,sm,sm.MAIN,1m,would_change,82753,82753,rqdata_sm_standard_1m_20140808_20260711_v2,rqdata_sm_standard_1m_20140808_20260711_v2,True
intraday_research_v1,sn,sn.MAIN,1m,would_change,82749,82749,rqdata_sn_standard_1m_20150327_20260711_v2,rqdata_sn_standard_1m_20150327_20260711_v2,True
intraday_research_v1,sp,sp.MAIN,1m,would_change,82740,82740,rqdata_sp_standard_1m_20181127_20260711_v2,rqdata_sp_standard_1m_20181127_20260711_v2,True
intraday_research_v1,sr,sr.MAIN,1m,would_change,82770,82770,rqdata_sr_standard_1m_20060106_20260711_v2,rqdata_sr_standard_1m_20060106_20260711_v2,True
intraday_research_v1,ss,ss.MAIN,1m,would_change,82734,82734,rqdata_ss_standard_1m_20190925_20260711_v2,rqdata_ss_standard_1m_20190925_20260711_v2,True
intraday_research_v1,t,t.MAIN,1m,would_change,82750,82750,rqdata_t_standard_1m_20150320_20260711_v2,rqdata_t_standard_1m_20150320_20260711_v2,True
intraday_research_v1,ta,ta.MAIN,1m,would_change,82772,82772,rqdata_ta_standard_1m_20061218_20260711_v2,rqdata_ta_standard_1m_20061218_20260711_v2,True
intraday_research_v1,tl,tl.MAIN,1m,would_change,71696,71696,rqdata_tl_standard_1m_20230103_20260712_v2,rqdata_tl_standard_1m_20230103_20260712_v2,True
intraday_research_v1,ts,ts.MAIN,1m,would_change,82741,82741,rqdata_ts_standard_1m_20180817_20260711_v2,rqdata_ts_standard_1m_20180817_20260711_v2,True
intraday_research_v1,ur,ur.MAIN,1m,would_change,82737,82737,rqdata_ur_standard_1m_20190809_20260711_v2,rqdata_ur_standard_1m_20190809_20260711_v2,True
intraday_research_v1,v,v.MAIN,1m,would_change,82779,82779,rqdata_v_standard_1m_20090525_20260711_v2,rqdata_v_standard_1m_20090525_20260711_v2,True
