batch_id,profile_id,instrument_symbol,contract_code,period,binding_id,previous_binding_id,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,applied_at,operator,committed,candidate_sha256,expected_before_sha256,candidate_count
profile-rollout-intraday-008b-003,intraday_research_v1,fg,fg.MAIN,1m,4598,400,55999,82788,rqdata_fg_standard_1m_20230103_20260711_v2,rqdata_fg_standard_1m_20121203_20260711_v2,2026-07-18T03:43:13.829376+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,fu,fu.MAIN,1m,4599,406,56000,82767,rqdata_fu_standard_1m_20230103_20260711_v2,rqdata_fu_standard_1m_20040825_20260711_v2,2026-07-18T03:43:13.844171+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,hc,hc.MAIN,1m,4600,412,56001,82755,rqdata_hc_standard_1m_20230103_20260711_v2,rqdata_hc_standard_1m_20140321_20260711_v2,2026-07-18T03:43:13.863055+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,i,i.MAIN,1m,4601,418,56002,82794,rqdata_i_standard_1m_20230103_20260711_v2,rqdata_i_standard_1m_20131018_20260711_v2,2026-07-18T03:43:13.882671+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,ic,ic.MAIN,1m,4602,424,56003,82746,rqdata_ic_standard_1m_20230103_20260711_v2,rqdata_ic_standard_1m_20150416_20260711_v2,2026-07-18T03:43:13.896987+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,if,if.MAIN,1m,4603,430,56004,82780,rqdata_if_standard_1m_20230103_20260711_v2,rqdata_if_standard_1m_20100416_20260711_v2,2026-07-18T03:43:13.916120+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,ih,ih.MAIN,1m,4604,436,56005,82747,rqdata_ih_standard_1m_20230103_20260711_v2,rqdata_ih_standard_1m_20150416_20260711_v2,2026-07-18T03:43:13.930742+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,im,im.MAIN,1m,4605,442,56006,71548,rqdata_im_standard_1m_20230103_20260711_v2,rqdata_im_standard_1m_20220722_20260711_v2,2026-07-18T03:43:13.937710+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,j,j.MAIN,1m,4606,448,56007,82782,rqdata_j_standard_1m_20230103_20260711_v2,rqdata_j_standard_1m_20110415_20260711_v2,2026-07-18T03:43:13.961418+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,jd,jd.MAIN,1m,4607,454,56008,82760,rqdata_jd_standard_1m_20230103_20260711_v2,rqdata_jd_standard_1m_20131108_20260711_v2,2026-07-18T03:43:13.973932+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,jr,jr.MAIN,1m,4608,466,56010,82759,rqdata_jr_standard_1m_20230103_20260711_v2,rqdata_jr_standard_1m_20131118_20260711_v2,2026-07-18T03:43:13.980087+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
