classification,product,actual_contract,period,covered_years,target_row_count,standard_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,physical_checksum,physical_file_size_bytes,physical_error,manifest_row_count,manifest_data_version,manifest_quality_status,manifest_checksum,db_exact_path_count,db_market_data_file_ids,db_data_versions,db_quality_report_ids,db_quality_report_statuses,db_identity_match_count,issues
already_registered,v_f,V2609F,1d,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=v_f/contract=V2609F/V2609F_1d_20260401_20260707.parquet,True,76,2026-04-01T15:00:00,2026-07-07T15:00:00,0e66d7b186f1da258674c6f53d3de0236d7a7dd89823b1a8953bcfb2b15bf27c,17921,,1,rq_acb_v_f_V2609F_1d_20260401_20260707_v1,passed,0e66d7b186f1da258674c6f53d3de0236d7a7dd89823b1a8953bcfb2b15bf27c,1,34461,rq_acb_v_f_V2609F_1d_20260401_20260707_v1,36185,passed,1,
already_registered,l_f,L2602F,1m,2025,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_1m_20251029_20251226.parquet,True,14715,2025-10-29T09:01:00,2025-12-26T15:00:00,658a6e3575641402f1a93f9e3b071891087b3ef3049df8101f323d1cbe71c901,259579,,1,rq_acb_l_f_L2602F_1m_20251029_20251226_v1,passed,658a6e3575641402f1a93f9e3b071891087b3ef3049df8101f323d1cbe71c901,1,50124,rq_acb_l_f_L2602F_1m_20251029_20251226_v1,49595,passed,1,
already_registered,l_f,L2603F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_1m_20260211_20260226.parquet,True,1950,2026-02-10T21:01:00,2026-02-26T15:00:00,a87f8989a7fe3183f016319a5e6b41fb81699eb52fa6434eae04a31a391f2ff2,35237,,1,rq_acb_l_f_L2603F_1m_20260211_20260226_v1,passed,a87f8989a7fe3183f016319a5e6b41fb81699eb52fa6434eae04a31a391f2ff2,1,50148,rq_acb_l_f_L2603F_1m_20260211_20260226_v1,49615,passed,1,
already_registered,l_f,L2604F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2604F/L2604F_1m_20260123_20260202.parquet,True,2415,2026-01-22T21:01:00,2026-02-02T15:00:00,f85f37d934895c16e900966af7a7ec1095aeefa0d92e2b240ccc4938b56c03c4,55686,,1,rq_acb_l_f_L2604F_1m_20260123_20260202_v1,passed,f85f37d934895c16e900966af7a7ec1095aeefa0d92e2b240ccc4938b56c03c4,1,50136,rq_acb_l_f_L2604F_1m_20260123_20260202_v1,49605,passed,1,
already_registered,l_f,L2605F,1m,2025|2026,2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2605F/L2605F_1m_20251229_20260122.parquet,True,5745,2025-12-26T21:01:00,2026-01-22T15:00:00,9c5ecbc637bc9cdc84597f7b845792968c40a55fd05eff757120a3b8b7588119,113535,,1,rq_acb_l_f_L2605F_1m_20251229_20260122_v1,passed,9c5ecbc637bc9cdc84597f7b845792968c40a55fd05eff757120a3b8b7588119,1,50130,rq_acb_l_f_L2605F_1m_20251229_20260122_v1,49600,passed,1,
already_registered,l_f,L2606F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2606F/L2606F_1m_20260227_20260306.parquet,True,2070,2026-02-26T21:01:00,2026-03-06T15:00:00,7837e2ae2d7725c7e128b3e438410ea60943bad21996592eb289c347c5c9ecfc,52136,,1,rq_acb_l_f_L2606F_1m_20260227_20260306_v1,passed,7837e2ae2d7725c7e128b3e438410ea60943bad21996592eb289c347c5c9ecfc,1,50154,rq_acb_l_f_L2606F_1m_20260227_20260306_v1,49620,passed,1,
already_registered,l_f,L2607F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2607F/L2607F_1m_20260203_20260210.parquet,True,2070,2026-02-02T21:01:00,2026-02-10T15:00:00,a3adfa30a2894ca315eea317a0bd8060339bc2695835a1017a06313571e5c8ec,40268,,1,rq_acb_l_f_L2607F_1m_20260203_20260210_v1,passed,a3adfa30a2894ca315eea317a0bd8060339bc2695835a1017a06313571e5c8ec,1,50142,rq_acb_l_f_L2607F_1m_20260203_20260210_v1,49610,passed,1,
already_registered,l_f,L2608F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2608F/L2608F_1m_20260309_20260402.parquet,True,6555,2026-03-06T21:01:00,2026-04-02T15:00:00,e96276204dc6b915b399f6d21e91cbdb443b0f0b2683edbce8acb37fae7e81f9,110908,,1,rq_acb_l_f_L2608F_1m_20260309_20260402_v1,passed,e96276204dc6b915b399f6d21e91cbdb443b0f0b2683edbce8acb37fae7e81f9,1,50160,rq_acb_l_f_L2608F_1m_20260309_20260402_v1,49625,passed,1,
duplicate_path_versions,l_f,L2609F,1m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_1m_20260401_20260707.parquet,True,22065,2026-03-31T21:01:00,2026-07-07T15:00:00,fb4e58ef5aa797c52919c9191ae2dc925124634c5487f36cd1ee256313ee80df,468554,,1,rq_acb_l_f_L2609F_1m_20260401_20260707_v1,passed,fb4e58ef5aa797c52919c9191ae2dc925124634c5487f36cd1ee256313ee80df,2,33766|34127,rqdata_actual_contract_bars_l_f_L2609F_1m_20260401_20260707_v1|rq_acb_l_f_L2609F_1m_20260401_20260707_v1,35446|35826,passed|passed,1,
already_registered,pp_f,PP2602F,1m,2025,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_1m_20251029_20251121.parquet,True,6090,2025-10-29T09:01:00,2025-11-21T15:00:00,d5a22203288426640dbc662f52a47d4c066a0b6f0b6c3462df26ca347f90c20f,122913,,1,rq_acb_pp_f_PP2602F_1m_20251029_20251121_v1,passed,d5a22203288426640dbc662f52a47d4c066a0b6f0b6c3462df26ca347f90c20f,1,45990,rq_acb_pp_f_PP2602F_1m_20251029_20251121_v1,46150,passed,1,
