product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
eb,"EB2005,EB2009,EB2101,EB2102,EB2103,EB2105,EB2106,EB2107,EB2108,EB2109,EB2110,EB2111,EB2112,EB2201,EB2202,EB2203,EB2204,EB2205,EB2206,EB2207,EB2208,EB2209,EB2210,EB2211,EB2212,EB2301,EB2302,EB2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ec,EC2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
eg,"EG2005,EG2009,EG2101,EG2105,EG2109,EG2201,EG2205,EG2209,EG2301,EG2305,EG2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:EG2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
fb,"FB2005,FB2009,FB2010,FB2011,FB2101,FB2102,FB2103,FB2105,FB2106,FB2109,FB2110,FB2201,FB2202,FB2203,FB2205,FB2206,FB2209,FB2210,FB2303,FB2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
fg,"FG2005,FG2009,FG2101,FG2105,FG2109,FG2201,FG2205,FG2209,FG2301,FG2305,FG2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:FG2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
fu,"FU2005,FU2009,FU2101,FU2105,FU2109,FU2201,FU2205,FU2209,FU2301,FU2305,FU2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
hc,"HC2005,HC2010,HC2101,HC2105,HC2110,HC2201,HC2205,HC2210,HC2301,HC2305,HC2610",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:HC2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
i,"I2005,I2009,I2101,I2105,I2109,I2201,I2205,I2209,I2301,I2305,I2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:I2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
ic,"IC2001,IC2002,IC2003,IC2004,IC2005,IC2006,IC2007,IC2008,IC2009,IC2010,IC2011,IC2012,IC2101,IC2102,IC2103,IC2104,IC2105,IC2106,IC2107,IC2108,IC2109,IC2110,IC2111,IC2112,IC2201,IC2202,IC2203,IC2204,IC2205,IC2206,IC2207,IC2208,IC2209,IC2210,IC2211,IC2212,IC2301,IC2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
if,"IF2001,IF2002,IF2003,IF2004,IF2005,IF2006,IF2007,IF2008,IF2009,IF2010,IF2011,IF2012,IF2101,IF2102,IF2103,IF2104,IF2105,IF2106,IF2107,IF2108,IF2109,IF2110,IF2111,IF2112,IF2201,IF2202,IF2203,IF2204,IF2205,IF2206,IF2207,IF2208,IF2209,IF2210,IF2211,IF2212,IF2301,IF2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
