product,asset_scope,contract,period,gate_status,blocked_reasons,manifest_status,manifest_quality_status,manifest_data_role,manifest_row_count,db_market_data_file_id,db_quality_status,db_row_count,data_quality_report_status,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,standard_path
ag,actual_contract,AG2306,1d,active_passed,,success,passed,primary,5,66815.0,passed,5.0,passed,5,2022-12-26T00:00:00,2022-12-30T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1d_20221226_20221230.parquet
ag,actual_contract,AG2608,1d,active_passed,,success,passed,primary,76,33887.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_1d_20260401_20260707.parquet
al,dominant_main,al.MAIN,1d,active_passed,,success,passed,primary,851,55802.0,passed,851.0,passed,851,2023-01-03T00:00:00,2026-07-10T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20230103_20260711_v2.parquet
al,actual_contract,AL2002,1d,active_passed,,success,passed,primary,7,66819.0,passed,7.0,passed,7,2020-01-02T00:00:00,2020-01-10T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2002/AL2002_1d_20200102_20200110.parquet
al,actual_contract,AL2003,1d,active_passed,,success,passed,primary,19,66823.0,passed,19.0,passed,19,2020-01-13T00:00:00,2020-02-14T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2003/AL2003_1d_20200113_20200214.parquet
al,actual_contract,AL2004,1d,active_passed,,success,passed,primary,14,66827.0,passed,14.0,passed,14,2020-02-17T00:00:00,2020-03-05T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2004/AL2004_1d_20200217_20200305.parquet
al,actual_contract,AL2005,1d,active_passed,,success,passed,primary,19,66831.0,passed,19.0,passed,19,2020-03-06T00:00:00,2020-04-01T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2005/AL2005_1d_20200306_20200401.parquet
al,actual_contract,AL2006,1d,active_passed,,success,passed,primary,20,66835.0,passed,20.0,passed,20,2020-04-02T00:00:00,2020-04-30T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2006/AL2006_1d_20200402_20200430.parquet
al,actual_contract,AL2007,1d,active_passed,,success,passed,primary,31,66839.0,passed,31.0,passed,31,2020-05-06T00:00:00,2020-06-17T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2007/AL2007_1d_20200506_20200617.parquet
al,actual_contract,AL2008,1d,active_passed,,success,passed,primary,27,66843.0,passed,27.0,passed,27,2020-06-18T00:00:00,2020-07-28T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1d_20200618_20200728.parquet
al,actual_contract,AL2009,1d,active_passed,,success,passed,primary,21,66847.0,passed,21.0,passed,21,2020-07-29T00:00:00,2020-08-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1d_20200729_20200826.parquet
al,actual_contract,AL2010,1d,active_passed,,success,passed,primary,21,66851.0,passed,21.0,passed,21,2020-08-27T00:00:00,2020-09-24T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1d_20200827_20200924.parquet
al,actual_contract,AL2011,1d,active_passed,,success,passed,primary,19,66855.0,passed,19.0,passed,19,2020-09-25T00:00:00,2020-10-29T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2011/AL2011_1d_20200925_20201029.parquet
al,actual_contract,AL2012,1d,active_passed,,success,passed,primary,19,66859.0,passed,19.0,passed,19,2020-10-30T00:00:00,2020-11-25T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2012/AL2012_1d_20201030_20201125.parquet
