profile,product,contract,period,binding_status,final_classification,classification_source,binding_id,contract_role,data_version,market_data_file_id,quality_policy
intraday_research_v1,bc,bc.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,319.0,dominant_main,rqdata_bc_standard_60m_20230103_20260711_v2,56109.0,passed_only
intraday_research_v1,br,br.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,320.0,dominant_main,rqdata_br_standard_15m_20230103_20260711_v2,56111.0,passed_only
intraday_research_v1,br,br.MAIN,1d,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,321.0,dominant_main,rqdata_br_standard_1d_20230103_20260711_v2,55816.0,passed_only
intraday_research_v1,br,br.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,322.0,dominant_main,rqdata_br_standard_1m_20230103_20260711_v2,55986.0,passed_only
intraday_research_v1,br,br.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,323.0,dominant_main,rqdata_br_standard_30m_20230103_20260711_v2,56112.0,passed_only
intraday_research_v1,br,br.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,324.0,dominant_main,rqdata_br_standard_5m_20230103_20260711_v2,56110.0,passed_only
intraday_research_v1,br,br.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,325.0,dominant_main,rqdata_br_standard_60m_20230103_20260711_v2,56113.0,passed_only
intraday_research_v1,bu,bu.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,326.0,dominant_main,rqdata_bu_standard_15m_20230103_20260711_v2,56115.0,passed_only
intraday_research_v1,bu,bu.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,327.0,dominant_main,rqdata_bu_standard_1d_20200102_20260711_v2,56442.0,passed_only
intraday_research_v1,bu,bu.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,328.0,dominant_main,rqdata_bu_standard_1m_20230103_20260711_v2,55987.0,passed_only
intraday_research_v1,bu,bu.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,329.0,dominant_main,rqdata_bu_standard_30m_20230103_20260711_v2,56116.0,passed_only
intraday_research_v1,bu,bu.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,330.0,dominant_main,rqdata_bu_standard_5m_20230103_20260711_v2,56114.0,passed_only
