product,contract_role,contract,period,year/window,profile,physical_status,metadata_status,quality_status,binding_status,gap_candidate,final_classification,classification_source,actual_status,audit_end,data_role,data_version,db_market_data_file_id,duplicate_active_count,end_date,evidence_id,evidence_source,expected,expected_end,expected_start,issue_type,missing_count,na_reason,provider,recommended_next_task,row_count,standard_path,start_date,status,status_reason,symbol_or_contract,target_reason,year
al,actual_contract,AL2005,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2005_1m_20200306_20200401_v1,97229.0,0,2020-04-01,market_data_file:97229,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,4275,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2005/AL2005_1m_20200306_20200401.parquet,2020-03-06,covered_passed,,AL2005,actual_contract_discovered,2020
al,actual_contract,AL2005,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2005_1w_20200306_20200401_v1,66833.0,0,2020-03-27,market_data_file:66833,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,3,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2005/AL2005_1w_20200306_20200401.parquet,2020-03-13,covered_passed,,AL2005,actual_contract_discovered,2020
al,actual_contract,AL2006,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2006_1d_20200402_20200430_v1,66835.0,0,2020-04-30,market_data_file:66835,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,20,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2006/AL2006_1d_20200402_20200430.parquet,2020-04-02,covered_passed,,AL2006,actual_contract_discovered,2020
al,actual_contract,AL2006,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2006_1m_20200402_20200430_v1,97231.0,0,2020-04-30,market_data_file:97231,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,4500,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2006/AL2006_1m_20200402_20200430.parquet,2020-04-02,covered_passed,,AL2006,actual_contract_discovered,2020
al,actual_contract,AL2006,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2006_1w_20200402_20200430_v1,66837.0,0,2020-04-30,market_data_file:66837,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,4,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2006/AL2006_1w_20200402_20200430.parquet,2020-04-10,covered_passed,,AL2006,actual_contract_discovered,2020
al,actual_contract,AL2007,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2007_1d_20200506_20200617_v1,66839.0,0,2020-06-17,market_data_file:66839,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,31,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2007/AL2007_1d_20200506_20200617.parquet,2020-05-06,covered_passed,,AL2007,actual_contract_discovered,2020
al,actual_contract,AL2007,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2007_1m_20200506_20200617_v1,97233.0,0,2020-06-17,market_data_file:97233,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,14175,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2007/AL2007_1m_20200506_20200617.parquet,2020-05-06,covered_passed,,AL2007,actual_contract_discovered,2020
al,actual_contract,AL2007,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2007_1w_20200506_20200617_v1,66841.0,0,2020-06-12,market_data_file:66841,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,6,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2007/AL2007_1w_20200506_20200617.parquet,2020-05-08,covered_passed,,AL2007,actual_contract_discovered,2020
al,actual_contract,AL2008,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2008_1d_20200618_20200728_v1,66843.0,0,2020-07-28,market_data_file:66843,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,27,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1d_20200618_20200728.parquet,2020-06-18,covered_passed,,AL2008,actual_contract_discovered,2020
al,actual_contract,AL2008,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2008_1m_20200618_20200728_v1,97235.0,0,2020-07-28,market_data_file:97235,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,12315,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1m_20200618_20200728.parquet,2020-06-17,covered_passed,,AL2008,actual_contract_discovered,2020
al,actual_contract,AL2008,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2008_1w_20200618_20200728_v1,66845.0,0,2020-07-24,market_data_file:66845,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,5,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2008/AL2008_1w_20200618_20200728.parquet,2020-06-24,covered_passed,,AL2008,actual_contract_discovered,2020
al,actual_contract,AL2009,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2009_1d_20200729_20200826_v1,66847.0,0,2020-08-26,market_data_file:66847,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,21,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1d_20200729_20200826.parquet,2020-07-29,covered_passed,,AL2009,actual_contract_discovered,2020
al,actual_contract,AL2009,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2009_1m_20200729_20200826_v1,97237.0,0,2020-08-26,market_data_file:97237,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,9765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1m_20200729_20200826.parquet,2020-07-28,covered_passed,,AL2009,actual_contract_discovered,2020
al,actual_contract,AL2009,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2009_1w_20200729_20200826_v1,66849.0,0,2020-08-21,market_data_file:66849,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,3,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2009/AL2009_1w_20200729_20200826.parquet,2020-08-07,covered_passed,,AL2009,actual_contract_discovered,2020
al,actual_contract,AL2010,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2010_1d_20200827_20200924_v1,66851.0,0,2020-09-24,market_data_file:66851,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,21,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1d_20200827_20200924.parquet,2020-08-27,covered_passed,,AL2010,actual_contract_discovered,2020
al,actual_contract,AL2010,1m,2020,,schema_invalid,registered,passed,not_profile_scoped,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2010_1m_20200827_20200924_v1,97239.0,0,2020-09-24,market_data_file:97239,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,9765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1m_20200827_20200924.parquet,2020-08-26,covered_passed,,AL2010,actual_contract_discovered,2020
al,actual_contract,AL2010,1w,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,physical_status:schema_invalid,blocked_with_reason,physical_status:schema_invalid,covered_passed,2026-07-10,primary,rq_acb_al_AL2010_1w_20200827_20200924_v1,66853.0,0,2020-09-18,market_data_file:66853,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,,0,,rqdata,,3,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2010/AL2010_1w_20200827_20200924.parquet,2020-09-04,covered_passed,,AL2010,actual_contract_discovered,2020
