product,contract,period,dedupe_key,final_classification,classification_source,conflicting_fields,contract_role,file_count,occurrence_count,value_ranges
cf,CF2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [15900.0, 15970.0], 'close': None, 'volume': [298851.0, 447826.0]}"
cf,CF2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [15745.0, 15775.0], 'close': None, 'volume': [189021.0, 250155.0]}"
cf,CF2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [15640.0, 15730.0], 'close': None, 'volume': [404554.0, 492418.0]}"
cf,CF2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [16260.0, 16285.0], 'close': None, 'volume': [170506.0, 318578.0]}"
cs,CS2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2729.0, 2734.0], 'close': None, 'volume': [103368.0, 178690.0]}"
cs,CS2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [2701.0, 2703.0], 'close': None, 'volume': [103992.0, 161443.0]}"
cu,CU2608,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [102240.0, 102480.0], 'close': None, 'volume': [63201.0, 105473.0]}"
cu,CU2608,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [102710.0, 103140.0], 'close': None, 'volume': [44239.0, 60586.0]}"
cy,CY2609,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [22350.0, 22375.0], 'close': None, 'volume': [7312.0, 10309.0]}"
cy,CY2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [22140.0, 22160.0], 'close': None, 'volume': [5496.0, 7406.0]}"
cy,CY2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [22135.0, 22195.0], 'close': None, 'volume': [10402.0, 12758.0]}"
cy,CY2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [22730.0, 22770.0], 'close': None, 'volume': [7051.0, 11057.0]}"
eb,EB2608,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [7080.0, 7198.0], 'close': None, 'volume': [235252.0, 413459.0]}"
eb,EB2608,1d,2026-07-06,covered_warning,cross_file_conflict,['volume'],actual_contract,2,2,"{'open': None, 'close': None, 'volume': [194038.0, 285722.0]}"
eg,EG2609,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4650.0, 4754.0], 'close': None, 'volume': [220890.0, 478130.0]}"
eg,EG2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4792.0, 4815.0], 'close': None, 'volume': [371236.0, 481485.0]}"
eg,EG2609,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4733.0, 4801.0], 'close': None, 'volume': [267040.0, 417038.0]}"
