product,period,layer,mode,status,detail,gap_start,gap_end
pg,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-03-30,2023-01-05
pk,1d,layer1,prepend,success,prepend historical prefix before existing asset,2021-02-01,2023-01-02
pk,1w,layer1,prepend,success,prepend historical prefix before existing asset,2021-02-01,2023-01-05
pl,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
pl,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
pm,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
pm,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
pp,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
pp,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
pp_f,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
pp_f,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
pr,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
pr,1w,layer1,skip,skipped,already backfilled through 2026-07-10,,
ps,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
ps,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
pt,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
pt,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
px,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
px,1w,layer1,skip,skipped,already backfilled through 2026-07-10,,
rb,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rb,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ri,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ri,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
rm,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rm,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
rr,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rr,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
rs,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rs,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ru,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ru,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sa,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sa,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sc,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sc,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sf,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sf,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sh,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
sh,1w,layer1,skip,skipped,already backfilled through 2026-07-10,,
si,1d,layer1,prepend,success,prepend historical prefix before existing asset,2022-12-22,2023-01-02
si,1w,layer1,prepend,success,prepend historical prefix before existing asset,2022-12-22,2023-01-05
sm,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sm,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sn,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sn,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sp,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sp,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
sr,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sr,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ss,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ss,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
t,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
t,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ta,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ta,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
tf,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
tf,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
tl,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
tl,1w,layer1,skip,skipped,already backfilled through 2026-07-10,,
ts,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ts,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ur,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ur,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
v,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
v,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
v_f,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
v_f,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
wh,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
wh,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
wr,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
wr,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
y,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
y,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
zc,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
zc,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
zn,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
zn,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
