product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
fg,get_dominant_price_1d,dominant_daily_baseline,2012-12-03,2026-07-07,2026-06-24,96,228151,2,6589,,ok
fg,get_dominant_price_samples,market_sample,2012-12-03,2026-07-07,2026-06-24,0,0,14,3198261,,ok
sc,get_dominant_rank1,main_contract_map,2018-03-26,2026-07-07,2026-06-24,0,0,0,0,2001,ok
sc,get_dominant_rank2,main_contract_map,2018-03-26,2026-06-24,2026-06-24,0,0,0,0,2000,ok
sc,get_ex_factor,futures_ex_factors,2018-03-26,2026-06-15,2026-06-24,0,0,0,0,93,ok
sc,get_warehouse_stocks,futures_warehouse_stocks,2018-03-30,2026-06-24,2026-06-24,0,0,0,0,1992,ok
sc,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,14360,12120,ok
sc,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sc,get_dominant_price_1d,dominant_daily_baseline,2018-03-26,2026-06-24,2026-06-24,96,228151,1,2000,,ok
sc,get_dominant_price_samples,market_sample,2018-03-26,2026-06-24,2026-06-24,0,0,5,1414670,,ok
fu,get_dominant_rank1,main_contract_map,2005-01-04,2026-07-07,2026-06-24,0,0,0,0,5203,ok
fu,get_dominant_rank2,main_contract_map,2005-01-04,2026-06-24,2026-06-24,0,0,0,0,5202,ok
fu,get_ex_factor,futures_ex_factors,2005-02-28,2026-05-14,2026-06-24,0,0,0,0,125,ok
fu,get_warehouse_stocks,futures_warehouse_stocks,2006-01-06,2026-06-24,2026-06-24,0,0,0,0,4441,ok
fu,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
fu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
fu,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3987,,ok
fu,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,1474106,,ok
bu,get_dominant_rank1,main_contract_map,2013-10-09,2026-07-07,2026-06-24,0,0,0,0,3092,ok
bu,get_dominant_rank2,main_contract_map,2013-10-09,2026-06-24,2026-06-24,0,0,0,0,3091,ok
bu,get_ex_factor,futures_ex_factors,2013-10-09,2026-05-20,2026-06-24,0,0,0,0,55,ok
bu,get_warehouse_stocks,futures_warehouse_stocks,2013-12-02,2026-06-24,2026-06-24,0,0,0,0,3053,ok
bu,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,11488,9696,ok
bu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
bu,get_dominant_price_1d,dominant_daily_baseline,2013-10-09,2026-06-24,2026-06-24,96,228151,1,3091,,ok
bu,get_dominant_price_samples,market_sample,2013-10-09,2026-06-24,2026-06-24,0,0,5,1389430,,ok
pg,get_dominant_rank1,main_contract_map,2020-03-30,2026-07-07,2026-06-24,0,0,0,0,1512,ok
pg,get_dominant_rank2,main_contract_map,2020-03-30,2026-06-24,2026-06-24,0,0,0,0,1511,ok
pg,get_ex_factor,futures_ex_factors,2020-03-30,2026-06-17,2026-06-24,0,0,0,0,66,ok
pg,get_warehouse_stocks,futures_warehouse_stocks,2020-03-30,2026-06-24,2026-06-24,0,0,0,0,1511,ok
pg,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
pg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
pg,get_dominant_price_1d,dominant_daily_baseline,2020-03-30,2026-06-24,2026-06-24,96,228151,1,1511,,ok
pg,get_dominant_price_samples,market_sample,2020-03-30,2026-06-24,2026-06-24,0,0,5,678904,,ok
cu,get_dominant_rank1,main_contract_map,2005-01-04,2026-07-07,2026-06-24,0,0,0,0,5214,ok
cu,get_dominant_rank2,main_contract_map,2005-01-04,2026-06-24,2026-06-24,0,0,0,0,5213,ok
cu,get_ex_factor,futures_ex_factors,2005-01-05,2026-06-18,2026-06-24,0,0,0,0,257,ok
