action,reason,profile_id,instrument_symbol,contract_code,contract_role,period,binding_id,current_file_id,target_file_id,target_data_version
replace,data_role=superseded,intraday_research_v1,fu,fu.MAIN,dominant_main,15m,404,56167,71422,rqdata_fu_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fu,fu.MAIN,dominant_main,30m,407,56168,71423,rqdata_fu_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fu,fu.MAIN,dominant_main,5m,408,56166,71421,rqdata_fu_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fu,fu.MAIN,dominant_main,60m,409,56169,71424,rqdata_fu_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,hc,hc.MAIN,dominant_main,15m,410,56171,71426,rqdata_hc_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,hc,hc.MAIN,dominant_main,30m,413,56172,71427,rqdata_hc_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,hc,hc.MAIN,dominant_main,5m,414,56170,71425,rqdata_hc_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,hc,hc.MAIN,dominant_main,60m,415,56173,71428,rqdata_hc_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,i,i.MAIN,dominant_main,15m,416,56175,71430,rqdata_i_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,i,i.MAIN,dominant_main,30m,419,56176,71431,rqdata_i_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,i,i.MAIN,dominant_main,5m,420,56174,71429,rqdata_i_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,i,i.MAIN,dominant_main,60m,421,56177,71432,rqdata_i_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ic,ic.MAIN,dominant_main,15m,422,56179,71570,rqdata_ic_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ic,ic.MAIN,dominant_main,30m,425,56180,71571,rqdata_ic_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ic,ic.MAIN,dominant_main,5m,426,56178,71569,rqdata_ic_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ic,ic.MAIN,dominant_main,60m,427,56181,71572,rqdata_ic_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,if,if.MAIN,dominant_main,15m,428,56183,71574,rqdata_if_standard_15m_20200102_20260711_v2
