profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,c,c.MAIN,60m,c|c.MAIN|60m,frozen_baseline_reference,40963,rulebook
intraday_research_v1,cf,cf.MAIN,15m,cf|cf.MAIN|15m,frozen_baseline_reference,40967,rulebook
intraday_research_v1,cf,cf.MAIN,1d,cf|cf.MAIN|1d,frozen_baseline_reference,40970,rulebook
intraday_research_v1,cf,cf.MAIN,1m,cf|cf.MAIN|1m,frozen_baseline_reference,40965,rulebook
intraday_research_v1,cf,cf.MAIN,30m,cf|cf.MAIN|30m,frozen_baseline_reference,40968,rulebook
intraday_research_v1,cf,cf.MAIN,5m,cf|cf.MAIN|5m,frozen_baseline_reference,40966,rulebook
intraday_research_v1,cf,cf.MAIN,60m,cf|cf.MAIN|60m,frozen_baseline_reference,40969,rulebook
intraday_research_v1,cj,cj.MAIN,15m,cj|cj.MAIN|15m,frozen_baseline_reference,40973,rulebook
intraday_research_v1,cj,cj.MAIN,1d,cj|cj.MAIN|1d,frozen_baseline_reference,40976,rulebook
intraday_research_v1,cj,cj.MAIN,1m,cj|cj.MAIN|1m,frozen_baseline_reference,40971,rulebook
intraday_research_v1,cj,cj.MAIN,30m,cj|cj.MAIN|30m,frozen_baseline_reference,40974,rulebook
intraday_research_v1,cj,cj.MAIN,5m,cj|cj.MAIN|5m,frozen_baseline_reference,40972,rulebook
intraday_research_v1,cj,cj.MAIN,60m,cj|cj.MAIN|60m,frozen_baseline_reference,40975,rulebook
intraday_research_v1,cs,cs.MAIN,15m,cs|cs.MAIN|15m,frozen_baseline_reference,40979,rulebook
intraday_research_v1,cs,cs.MAIN,1d,cs|cs.MAIN|1d,frozen_baseline_reference,40982,rulebook
intraday_research_v1,cs,cs.MAIN,1m,cs|cs.MAIN|1m,frozen_baseline_reference,40977,rulebook
intraday_research_v1,cs,cs.MAIN,30m,cs|cs.MAIN|30m,frozen_baseline_reference,40980,rulebook
