profile_id,instrument_symbol,contract_code,period,contract_role,candidate_status,market_data_file_id,data_version,rulebook_rank,block_reason,file_path,quality_status,disposition,evidence_source
intraday_research_v1,ag,ag.MAIN,1m,dominant_main,excluded,55756,rqdata_ag_standard_1m_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,30m,dominant_main,blocked,40897,rqdata_ag_standard_30m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_30m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,30m,dominant_main,current,56080,rqdata_ag_standard_30m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_30m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,5m,dominant_main,blocked,40895,rqdata_ag_standard_5m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_5m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,5m,dominant_main,current,56078,rqdata_ag_standard_5m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_5m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,60m,dominant_main,blocked,40898,rqdata_ag_standard_60m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_60m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,60m,dominant_main,current,56081,rqdata_ag_standard_60m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_60m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,15m,dominant_main,blocked,40902,rqdata_al_standard_15m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_15m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,al,al.MAIN,15m,dominant_main,current,56083,rqdata_al_standard_15m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_15m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,al,al.MAIN,1d,dominant_main,blocked,40905,rqdata_al_standard_1d_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20230103_20260707_v2.parquet,passed,,rulebook
