product,trade_date,contract,field,value,source,source_row_id,data_version,effective_start,effective_end,complete
jm,2023-01-16,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-16,JM2305,open_commission,0.00010000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-16,JM2305,close_commission,0.00010000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-16,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-17,JM2305,price_tick,0.500000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,contract_multiplier,60,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,open_commission,0.00010000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,close_commission,0.00010000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-17,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424828,rqdata_structured_v1,2023-01-17,2023-01-17,True
jm,2023-01-18,JM2305,price_tick,0.500000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,contract_multiplier,60,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,open_commission,0.00010000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,close_commission,0.00010000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-18,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424829,rqdata_structured_v1,2023-01-18,2023-01-18,True
jm,2023-01-19,JM2305,price_tick,0.500000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,contract_multiplier,60,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,open_commission,0.00010000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,close_commission,0.00010000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-19,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424830,rqdata_structured_v1,2023-01-19,2023-01-19,True
jm,2023-01-20,JM2305,price_tick,0.500000,futures_trading_parameters,424831,rqdata_structured_v1,2023-01-20,2023-01-20,True
jm,2023-01-20,JM2305,contract_multiplier,60,futures_trading_parameters,424831,rqdata_structured_v1,2023-01-20,2023-01-20,True
