classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,calls_rqdata,error_type,error_message
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,wh,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,wr,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,y,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,zc,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,zn,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,a,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ag,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,al,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ap,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,au,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,b,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bb,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bc,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,bu,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,c,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cf,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cj,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cs,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cu,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,cy,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,eb,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,eg,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fb,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fg,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,fu,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,hc,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,i,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ic,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,if,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ih,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,j,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jd,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jm,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jr,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,l,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lh,2021,2021-01-01,2021-12-31,False,False,False,0,success,478,478,478,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lu,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,m,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ma,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ni,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,nr,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,oi,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,p,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pb,2021,2021-01-01,2021-12-31,False,False,False,0,success,486,486,486,False,,
