product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
if,main,dominant_main,if.MAIN,1m,2010-04-16,2026-07-10,2010-04-16,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1m_20100416_20260711_v2.parquet,none,,,
ih,main,dominant_main,ih.MAIN,1m,2015-04-16,2026-07-10,2015-04-16,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1m_20150416_20260711_v2.parquet,none,,,
im,main,dominant_main,im.MAIN,1m,2022-07-22,2026-07-10,2022-07-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_1m_20220722_20260711_v2.parquet,none,,,
j,main,dominant_main,j.MAIN,1m,2011-04-15,2026-07-10,2011-04-15,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=j/contract=j.MAIN/j_MAIN_1m_20110415_20260711_v2.parquet,none,,,
jd,main,dominant_main,jd.MAIN,1m,2013-11-08,2026-07-10,2013-11-08,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jd/contract=jd.MAIN/jd_MAIN_1m_20131108_20260711_v2.parquet,none,,,
jm,main,dominant_main,jm.MAIN,1m,2013-03-22,2026-07-10,2013-03-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20130322_20260711_v2.parquet,none,,,
jr,main,dominant_main,jr.MAIN,1m,2013-11-18,2026-07-10,2013-11-18,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1m_20131118_20260711_v2.parquet,none,,,
l,main,dominant_main,l.MAIN,1m,2007-07-31,2026-07-10,2010-01-04,2026-07-10,partial_start,2007-07-31,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l/contract=l.MAIN/l_MAIN_1m_20070731_20260711_v2.parquet,minute_pre2020_backfill,,,
l_f,main,dominant_main,l_f.MAIN,1m,2025-10-29,2026-07-10,2025-10-29,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=l_f.MAIN/l_f_MAIN_1m_20230103_20260712_v2.parquet,none,,,
lc,main,dominant_main,lc.MAIN,1m,2023-07-21,2026-07-10,2023-07-21,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=GFEX/symbol=lc/contract=lc.MAIN/lc_MAIN_1m_20230103_20260712_v2.parquet,none,,,
