calendar_boundary_status,consumer,contract_role,effective_target_end,materialization_policy,period,product,profile_id,requirement_level,target_end,target_id,target_start
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,cj,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cj:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,cs,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cs:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,cu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cu:30m:source:2026-07-10,
