physical_path,product,symbol_or_contract,period,contract_role,schema_version,schema_fingerprint,embedded_status,sidecar_status,schema_status,missing_embedded,missing_sidecar
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2309/A2309_1m_20230613_20230816.parquet,a,A2309,1m,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=A2309/A2309_30m_20230613_20230816.parquet,a,A2309,30m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=A2309/A2309_5m_20230613_20230816.parquet,a,A2309,5m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=A2309/A2309_60m_20230613_20230816.parquet,a,A2309,60m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2311/A2311_15m_20230817_20231017.parquet,a,A2311,15m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2311/A2311_1d_20230817_20231017.parquet,a,A2311,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2311/A2311_1m_20230817_20231017.parquet,a,A2311,1m,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=A2311/A2311_30m_20230817_20231017.parquet,a,A2311,30m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=A2311/A2311_5m_20230817_20231017.parquet,a,A2311,5m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=A2311/A2311_60m_20230817_20231017.parquet,a,A2311,60m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
