product,contract_role,symbol_or_contract,period,year,status,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,standard_path,registration_scope,root_cause_bucket,recommended_next_task
pp,actual_contract,PP2602F,1m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-11-21,6090,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_1m_20251029_20251121.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2602F,30m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-11-21,212,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_30m_20251029_20251121.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2602F,5m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-11-21,1218,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_5m_20251029_20251121.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2602F,60m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-11-21,124,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=pp_f/contract=PP2602F/PP2602F_60m_20251029_20251121.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2603F,15m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-21,2025-11-24,23,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_15m_20251124_20251124.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2603F,1m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-21,2025-11-24,345,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_1m_20251124_20251124.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2603F,30m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-21,2025-11-24,12,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_30m_20251124_20251124.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2603F,5m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-21,2025-11-24,69,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_5m_20251124_20251124.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2603F,60m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-21,2025-11-24,7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=pp_f/contract=PP2603F/PP2603F_60m_20251124_20251124.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,15m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,866,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_15m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,866,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_15m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,1m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,12990,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_1m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,12990,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_1m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,30m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,452,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_30m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,452,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_30m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
pp,actual_contract,PP2604F,5m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-11-24,2026-01-19,2598,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_5m_20251125_20260119.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
