residual_scope,product,contract_role,contract,period,physical_path,quality_status,reason,recommended_next_task
file_evidence,p,actual_contract,P1401,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1401/P1401_1m_20130617_20131104.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1405,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1405/P1405_1m_20131105_20140226.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1409,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1409/P1409_1m_20140227_20140616.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1501,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1501/P1501_1m_20140617_20141107.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1505,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1505/P1505_1m_20141110_20150309.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1509,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1509/P1509_1m_20150310_20150604.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1601,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1601/P1601_1m_20150605_20151126.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,p,actual_contract,P1605,1m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1605/P1605_1m_20151127_20160315.parquet,unchecked,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,ri,dominant_main,ri.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1d_20120724_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,ri,dominant_main,ri.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,ri,dominant_main,ri.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1w_20120724_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,ri,dominant_main,ri.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,ri,dominant_main,ri.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20121228_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,rs,dominant_main,rs.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1d_20230103_20260707_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
