product,period,listing_start,target_start,target_end,boundary_status,physical_coverage,quality,calendar_status,legacy_pre_2020_status,legacy_false_positive,reason,recommended_next_task
sa,1w,2019-12-06,2019-12-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sc,1w,2018-03-26,2018-03-30,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sf,1w,2014-08-08,2014-08-08,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sh,1w,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
si,1w,2022-12-22,2022-12-23,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sm,1w,2014-08-08,2014-08-08,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sn,1w,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sp,1w,2018-11-27,2018-11-30,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sr,1w,2006-01-06,2006-01-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ss,1w,2019-09-25,2019-09-27,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
t,1w,2015-03-20,2015-03-20,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ta,1w,2006-12-18,2006-12-22,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
tf,1w,2013-09-06,2013-09-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
tl,1w,2023-04-21,2023-04-21,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ts,1w,2018-08-17,2018-08-17,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ur,1w,2019-08-09,2019-08-09,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
v,1w,2009-05-25,2009-05-27,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
v_f,1w,2025-10-29,2025-10-31,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
wh,1w,2012-07-24,2012-07-27,2026-07-10,start_boundary_supported,covered,failed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""quality_failed"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
wr,1w,2009-03-27,2009-03-27,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
y,1w,2006-01-09,2006-01-13,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
zc,1w,2015-05-18,2015-05-22,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
zn,1w,2007-03-26,2007-03-30,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
