product,metadata_type,applicability,status,reason,evidence_start,evidence_end,period,residual_scope,recommended_next_task
bz,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bz,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bz,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
bz,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bz,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
c,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
c,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
c,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
c,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
c,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cf,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cf,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cf,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cf,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2009-09-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cf,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cj,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cj,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cj,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cj,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cj,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cs,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cs,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cs,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cs,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cs,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cu,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cy,contract_universe,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cy,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cy,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
cy,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
cy,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
eb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
eb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eb,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ec,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ec,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ec,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ec,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-08-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ec,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
eg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
eg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2018-12-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
eg,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
fb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
