residual_scope,product,contract_role,contract,period,source_role,physical_path,status,reason,expected_start,expected_end,observed_start,observed_end,checksum_status,recommended_next_task
expected_coverage,i,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2013-10-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ic,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ic,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ic,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ic,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,if,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,if,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,if,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,if,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ih,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ih,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ih,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ih,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2015-04-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,j,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2011-04-15,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,j,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2011-04-15,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,j,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2011-04-15,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,j,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2011-04-15,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jd,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2013-11-08,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jd,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2013-11-08,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jd,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2013-11-08,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jd,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2013-11-08,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jm,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2013-03-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jm,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2013-03-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jm,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2013-03-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jm,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2013-03-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jr,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2013-11-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jr,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2013-11-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jr,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2013-11-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,jr,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2013-11-18,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,l,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,l,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,l,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,l,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,m,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,m,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,m,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,m,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ma,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2014-06-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ma,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2014-06-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ma,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2014-06-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ma,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2014-06-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ni,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2015-03-27,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ni,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2015-03-27,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ni,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2015-03-27,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ni,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2015-03-27,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,nr,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2019-08-12,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,nr,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2019-08-12,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,nr,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2019-08-12,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,nr,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2019-08-12,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,oi,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-07-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,oi,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-07-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,oi,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-07-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,oi,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2012-07-16,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,p,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,p,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,p,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,p,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pb,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2011-03-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pb,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2011-03-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pb,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2011-03-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pb,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2011-03-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pm,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-01-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pm,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-01-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pm,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-01-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pm,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2012-01-17,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pp,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2014-02-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pp,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2014-02-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pp,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2014-02-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,pp,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2014-02-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rb,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rb,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rb,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rb,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ri,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-07-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ri,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-07-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ri,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-07-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ri,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2012-07-24,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rm,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-12-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rm,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-12-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,rm,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-12-28,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
