register_id,source,scope,hard_gate,profile_id,product,contract,period,reason,status,evidence
327289f884a920745a18,B2-08A,profile_candidate,false,intraday_research_v1,bc,bc.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
905aab178b7ea1ab86cb,B2-08A,profile_candidate,false,intraday_research_v1,bc,bc.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
08b93888ae065792d5c9,B2-08A,profile_candidate,false,intraday_research_v1,br,br.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
284917caeb7efb642d9c,B2-08A,profile_candidate,false,intraday_research_v1,br,br.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
15cda875ce9f1762046b,B2-08A,profile_candidate,false,intraday_research_v1,br,br.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
c46d82035d249d89f087,B2-08A,profile_candidate,false,intraday_research_v1,br,br.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
7878ce9223c3c26e9e47,B2-08A,profile_candidate,false,intraday_research_v1,br,br.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
643c3b1e1c49160ee8b5,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
7b4273cf1b347fcb5349,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
84716cccc1bb8f720e31,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
55a4c2a14b402d5142cc,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
696146d79ab0865c1182,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
e40520598366617a8ee3,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
8bf11596cb0f8925eab8,B2-08A,profile_candidate,false,intraday_research_v1,bu,bu.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
d8c8e6be3a9d51e80b03,B2-08A,profile_candidate,false,intraday_research_v1,bz,bz.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
326873e2f865db8a63c2,B2-08A,profile_candidate,false,intraday_research_v1,bz,bz.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
cfe46b6b4ae9d97f5921,B2-08A,profile_candidate,false,intraday_research_v1,bz,bz.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
492dc37cce1f9f1dbac6,B2-08A,profile_candidate,false,intraday_research_v1,bz,bz.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
7c302dd05463048a11a1,B2-08A,profile_candidate,false,intraday_research_v1,bz,bz.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
a7afbbfe3df3d9b5a281,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
b93314bf81b4e421c3bb,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
75b02c565c1df0e006a3,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
7e5198b5bfa3e389311e,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
b6b6cfac56f02f209ea9,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,30m,lineage_unverified,blocked_not_applied,rulebook
d9fd66079230e41bc017,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,5m,lineage_unverified,blocked_not_applied,rulebook
847cbd6c3b909f0621cc,B2-08A,profile_candidate,false,intraday_research_v1,c,c.MAIN,60m,lineage_unverified,blocked_not_applied,rulebook
573b1a4ba94528f46c2b,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,15m,lineage_unverified,blocked_not_applied,rulebook
205f08d991f722cc6e15,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
c0ddf4400ec4bc3007e4,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,1d,lineage_unverified,blocked_not_applied,rulebook
ea5def88879f539d2842,B2-08A,profile_candidate,false,intraday_research_v1,cf,cf.MAIN,1m,target_coverage_incomplete,blocked_not_applied,rulebook
