product,contract,week_end,issue,pre_first_owner,fields,details
PF,PF2302,2022-04-15,STRICT_NO_TRADE_AGGREGATION,True,"open,low","{""week_end"": ""2022-04-15"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low""], ""strict_no_trade_days"": [""2022-04-11"", ""2022-04-12""], ""stored"": {""open"": ""0E-18"", ""high"": ""7950.000000000000000000"", ""low"": ""0E-18"", ""close"": ""7950.000000000000000000"", ""volume"": ""155.000000000000000000"", ""turnover"": ""6046900.000000000000000000"", ""open_interest"": ""1100.000000000000000000""}, ""expected"": {""open"": ""7898.000000000000000000"", ""high"": ""7950.000000000000000000"", ""low"": ""7606.000000000000000000"", ""close"": ""7950.000000000000000000"", ""volume"": ""155.000000000000000000"", ""turnover"": ""6046900.000000000000000000"", ""open_interest"": ""1100.000000000000000000""}}"
PF,PF2302,2022-04-22,STRICT_NO_TRADE_AGGREGATION,True,"low,close","{""week_end"": ""2022-04-22"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low"", ""close""], ""strict_no_trade_days"": [""2022-04-20"", ""2022-04-21"", ""2022-04-22""], ""stored"": {""open"": ""8010.000000000000000000"", ""high"": ""8046.000000000000000000"", ""low"": ""0E-18"", ""close"": ""0E-18"", ""volume"": ""2.000000000000000000"", ""turnover"": ""80300.000000000000000000"", ""open_interest"": ""1098.000000000000000000""}, ""expected"": {""open"": ""8010.000000000000000000"", ""high"": ""8046.000000000000000000"", ""low"": ""8010.000000000000000000"", ""close"": ""8046.000000000000000000"", ""volume"": ""2.000000000000000000"", ""turnover"": ""80300.000000000000000000"", ""open_interest"": ""1098.000000000000000000""}}"
PF,PF2302,2022-04-29,STRICT_NO_TRADE_AGGREGATION,True,"open,low","{""week_end"": ""2022-04-29"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low""], ""strict_no_trade_days"": [""2022-04-25"", ""2022-04-26"", ""2022-04-27"", ""2022-04-28""], ""stored"": {""open"": ""0E-18"", ""high"": ""8040.000000000000000000"", ""low"": ""0E-18"", ""close"": ""8040.000000000000000000"", ""volume"": ""1.000000000000000000"", ""turnover"": ""40200.000000000000000000"", ""open_interest"": ""1099.000000000000000000""}, ""expected"": {""open"": ""8040.000000000000000000"", ""high"": ""8040.000000000000000000"", ""low"": ""8040.000000000000000000"", ""close"": ""8040.000000000000000000"", ""volume"": ""1.000000000000000000"", ""turnover"": ""40200.000000000000000000"", ""open_interest"": ""1099.000000000000000000""}}"
PF,PF2302,2022-05-06,STRICT_NO_TRADE_AGGREGATION,True,"open,low","{""week_end"": ""2022-05-06"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low""], ""strict_no_trade_days"": [""2022-05-05""], ""stored"": {""open"": ""0E-18"", ""high"": ""8250.000000000000000000"", ""low"": ""0E-18"", ""close"": ""8188.000000000000000000"", ""volume"": ""34.000000000000000000"", ""turnover"": ""1385500.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}, ""expected"": {""open"": ""8250.000000000000000000"", ""high"": ""8250.000000000000000000"", ""low"": ""8128.000000000000000000"", ""close"": ""8188.000000000000000000"", ""volume"": ""34.000000000000000000"", ""turnover"": ""1385500.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}}"
PF,PF2302,2022-05-13,STRICT_NO_TRADE_AGGREGATION,True,low,"{""week_end"": ""2022-05-13"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low""], ""strict_no_trade_days"": [""2022-05-10""], ""stored"": {""open"": ""8120.000000000000000000"", ""high"": ""8282.000000000000000000"", ""low"": ""0E-18"", ""close"": ""8282.000000000000000000"", ""volume"": ""11.000000000000000000"", ""turnover"": ""445400.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}, ""expected"": {""open"": ""8120.000000000000000000"", ""high"": ""8282.000000000000000000"", ""low"": ""7952.000000000000000000"", ""close"": ""8282.000000000000000000"", ""volume"": ""11.000000000000000000"", ""turnover"": ""445400.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}}"
PF,PF2302,2022-05-20,STRICT_NO_TRADE_AGGREGATION,True,"open,low,close","{""week_end"": ""2022-05-20"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""open"", ""low"", ""close""], ""strict_no_trade_days"": [""2022-05-16"", ""2022-05-19"", ""2022-05-20""], ""stored"": {""open"": ""0E-18"", ""high"": ""8402.000000000000000000"", ""low"": ""0E-18"", ""close"": ""0E-18"", ""volume"": ""4.000000000000000000"", ""turnover"": ""167100.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}, ""expected"": {""open"": ""8402.000000000000000000"", ""high"": ""8402.000000000000000000"", ""low"": ""8278.000000000000000000"", ""close"": ""8278.000000000000000000"", ""volume"": ""4.000000000000000000"", ""turnover"": ""167100.000000000000000000"", ""open_interest"": ""1116.000000000000000000""}}"
PF,PF2302,2022-06-02,STRICT_NO_TRADE_AGGREGATION,True,"low,close","{""week_end"": ""2022-06-02"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low"", ""close""], ""strict_no_trade_days"": [""2022-05-31"", ""2022-06-01"", ""2022-06-02""], ""stored"": {""open"": ""8184.000000000000000000"", ""high"": ""8184.000000000000000000"", ""low"": ""0E-18"", ""close"": ""0E-18"", ""volume"": ""1.000000000000000000"", ""turnover"": ""40900.000000000000000000"", ""open_interest"": ""1101.000000000000000000""}, ""expected"": {""open"": ""8184.000000000000000000"", ""high"": ""8184.000000000000000000"", ""low"": ""8184.000000000000000000"", ""close"": ""8184.000000000000000000"", ""volume"": ""1.000000000000000000"", ""turnover"": ""40900.000000000000000000"", ""open_interest"": ""1101.000000000000000000""}}"
PF,PF2302,2022-06-10,STRICT_NO_TRADE_AGGREGATION,True,low,"{""week_end"": ""2022-06-10"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low""], ""strict_no_trade_days"": [""2022-06-07""], ""stored"": {""open"": ""8434.000000000000000000"", ""high"": ""8922.000000000000000000"", ""low"": ""0E-18"", ""close"": ""8800.000000000000000000"", ""volume"": ""11.000000000000000000"", ""turnover"": ""480500.000000000000000000"", ""open_interest"": ""1106.000000000000000000""}, ""expected"": {""open"": ""8434.000000000000000000"", ""high"": ""8922.000000000000000000"", ""low"": ""8434.000000000000000000"", ""close"": ""8800.000000000000000000"", ""volume"": ""11.000000000000000000"", ""turnover"": ""480500.000000000000000000"", ""open_interest"": ""1106.000000000000000000""}}"
PF,PF2302,2022-06-17,STRICT_NO_TRADE_AGGREGATION,True,low,"{""week_end"": ""2022-06-17"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low""], ""strict_no_trade_days"": [""2022-06-14""], ""stored"": {""open"": ""8732.000000000000000000"", ""high"": ""8786.000000000000000000"", ""low"": ""0E-18"", ""close"": ""8440.000000000000000000"", ""volume"": ""97.000000000000000000"", ""turnover"": ""4205900.000000000000000000"", ""open_interest"": ""1092.000000000000000000""}, ""expected"": {""open"": ""8732.000000000000000000"", ""high"": ""8786.000000000000000000"", ""low"": ""8440.000000000000000000"", ""close"": ""8440.000000000000000000"", ""volume"": ""97.000000000000000000"", ""turnover"": ""4205900.000000000000000000"", ""open_interest"": ""1092.000000000000000000""}}"
PF,PF2302,2022-07-01,STRICT_NO_TRADE_AGGREGATION,True,low,"{""week_end"": ""2022-07-01"", ""stored_weekly"": true, ""pre_first_owner"": true, ""kind"": ""STRICT_NO_TRADE_AGGREGATION"", ""fields"": [""low""], ""strict_no_trade_days"": [""2022-06-28"", ""2022-06-29"", ""2022-06-30""], ""stored"": {""open"": ""7796.000000000000000000"", ""high"": ""7856.000000000000000000"", ""low"": ""0E-18"", ""close"": ""7832.000000000000000000"", ""volume"": ""5.000000000000000000"", ""turnover"": ""195400.000000000000000000"", ""open_interest"": ""1090.000000000000000000""}, ""expected"": {""open"": ""7796.000000000000000000"", ""high"": ""7856.000000000000000000"", ""low"": ""7768.000000000000000000"", ""close"": ""7832.000000000000000000"", ""volume"": ""5.000000000000000000"", ""turnover"": ""195400.000000000000000000"", ""open_interest"": ""1090.000000000000000000""}}"
