product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
ta,2006-12-18,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
tf,2013-09-06,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
tl,2023-04-21,False,not_applicable,4,4,True,166,166,2023-04-21 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
ts,2018-08-17,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ur,2019-08-09,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
v,2009-05-25,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
v_f,2025-10-29,False,not_applicable,2,2,True,36,36,2025-10-31 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
wh,2012-07-24,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
wr,2009-03-27,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
y,2006-01-09,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
zc,2015-05-18,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
zn,2007-03-26,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
