product,direct_1d_present,derived_1d_from_1m_present,direct_1m_present,direct_1w_present,direct_1d_row_count,derived_1d_row_count,row_count_diff_direct_minus_derived,crosscheck_status,weekly_from_1d_status,issue_class,primary_source_decision
ss,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
t,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ta,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
tf,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
tl,True,True,True,True,779,779,0,match,both_present_manual_review,match,unchanged_readonly_audit
ts,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ur,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
v,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
v_f,True,True,True,True,170,170,0,match,both_present_manual_review,match,unchanged_readonly_audit
wh,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
wr,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
y,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
zc,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
zn,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
