datetime,datetime_nano,DCE.i2105.open,DCE.i2105.high,DCE.i2105.low,DCE.i2105.close,DCE.i2105.volume,DCE.i2105.open_oi,DCE.i2105.close_oi
2021-04-09 09:14:00.000000000,1617930840000000000,1126.0,1127.0,1126.0,1126.5,235,180199,179991
2021-04-09 09:15:00.000000000,1617930900000000000,1126.5,1127.5,1126.0,1126.5,65,179991,179937
2021-04-09 09:16:00.000000000,1617930960000000000,1126.5,1127.0,1126.5,1126.5,50,179937,179921
2021-04-09 09:17:00.000000000,1617931020000000000,1126.5,1127.0,1125.5,1125.5,116,179921,179891
2021-04-09 09:18:00.000000000,1617931080000000000,1125.5,1126.0,1125.5,1126.0,103,179891,179963
2021-04-09 09:19:00.000000000,1617931140000000000,1126.0,1126.0,1125.5,1126.0,40,179963,179965
2021-04-09 09:20:00.000000000,1617931200000000000,1126.0,1126.5,1125.5,1126.0,323,179965,179933
2021-04-09 09:21:00.000000000,1617931260000000000,1126.0,1126.0,1125.5,1125.5,108,179933,179958
2021-04-09 09:22:00.000000000,1617931320000000000,1125.5,1127.5,1125.5,1126.0,94,179958,179927
2021-04-09 09:23:00.000000000,1617931380000000000,1126.0,1126.5,1125.5,1126.5,45,179927,179933
2021-04-09 09:24:00.000000000,1617931440000000000,1126.5,1126.5,1126.0,1126.0,41,179933,179908
2021-04-09 09:25:00.000000000,1617931500000000000,1126.0,1126.0,1125.5,1126.0,315,179908,179885
2021-04-09 09:26:00.000000000,1617931560000000000,1126.0,1126.5,1125.5,1125.5,229,179885,179920
2021-04-09 09:27:00.000000000,1617931620000000000,1125.5,1126.0,1125.5,1125.5,27,179920,179916
2021-04-09 09:28:00.000000000,1617931680000000000,1125.5,1126.0,1125.0,1125.5,300,179916,179837
2021-04-09 09:29:00.000000000,1617931740000000000,1125.5,1126.0,1125.5,1125.5,72,179837,179825
2021-04-09 09:30:00.000000000,1617931800000000000,1125.5,1126.0,1125.0,1125.5,347,179825,179878
2021-04-09 09:31:00.000000000,1617931860000000000,1125.5,1126.0,1125.0,1125.5,353,179878,179763
2021-04-09 09:32:00.000000000,1617931920000000000,1125.5,1125.5,1123.5,1123.5,188,179763,179706
