product,metadata_type,applicability,status,reason,evidence_start,evidence_end
cy,asset_registration,applicable,passed,registered_contract_listing,2017-08-18,2026-07-10
cy,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cy,contract_universe,applicable,passed,contract_universe_present,2017-08-18,2026-07-10
cy,main_contract_map,applicable,passed,rank1_mapping_present,2017-08-18,2026-07-07
cy,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
cy,trading_parameter,applicable,passed,trading_parameters_present,2017-08-18,2026-07-10
cy,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
eb,asset_registration,applicable,passed,registered_contract_listing,2019-09-26,2026-07-10
eb,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
eb,contract_universe,applicable,passed,contract_universe_present,2019-09-26,2026-07-10
eb,main_contract_map,applicable,passed,rank1_mapping_present,2019-09-26,2026-07-07
eb,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
eb,trading_parameter,applicable,passed,trading_parameters_present,2019-09-26,2026-07-10
eb,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ec,asset_registration,applicable,passed,registered_contract_listing,2023-08-18,2026-07-10
ec,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-08-18,2026-07-07
ec,contract_universe,applicable,passed,contract_universe_present,2023-08-18,2026-07-10
ec,main_contract_map,applicable,passed,rank1_mapping_present,2023-08-18,2026-07-07
ec,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ec,trading_parameter,applicable,passed,trading_parameters_present,2023-08-18,2026-07-10
ec,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
eg,asset_registration,applicable,passed,registered_contract_listing,2018-12-10,2026-07-10
eg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
eg,contract_universe,applicable,passed,contract_universe_present,2018-12-10,2026-07-10
eg,main_contract_map,applicable,passed,rank1_mapping_present,2018-12-10,2026-07-07
eg,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
eg,trading_parameter,applicable,passed,trading_parameters_present,2018-12-10,2026-07-10
eg,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
fb,asset_registration,applicable,passed,registered_contract_listing,2013-12-06,2026-07-10
fb,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fb,contract_universe,applicable,passed,contract_universe_present,2013-12-06,2026-07-10
fb,main_contract_map,applicable,passed,rank1_mapping_present,2013-12-06,2026-07-07
fb,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
fb,trading_parameter,applicable,passed,trading_parameters_present,2013-12-06,2026-07-10
fb,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
fg,asset_registration,applicable,passed,registered_contract_listing,2012-12-03,2026-07-10
fg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fg,contract_universe,applicable,passed,contract_universe_present,2012-12-03,2026-07-10
fg,main_contract_map,applicable,passed,rank1_mapping_present,2012-12-03,2026-06-24
fg,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
fg,trading_parameter,applicable,passed,trading_parameters_present,2012-12-03,2026-07-10
fg,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
fu,asset_registration,applicable,passed,registered_contract_listing,2004-08-25,2026-07-10
fu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
fu,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
fu,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
fu,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
fu,trading_parameter,applicable,passed,trading_parameters_present,2012-11-01,2026-07-10
fu,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
hc,asset_registration,applicable,passed,registered_contract_listing,2014-03-21,2026-07-10
hc,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
hc,contract_universe,applicable,passed,contract_universe_present,2014-03-21,2026-07-10
hc,main_contract_map,applicable,passed,rank1_mapping_present,2014-03-21,2026-07-07
hc,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
hc,trading_parameter,applicable,passed,trading_parameters_present,2014-03-21,2026-07-10
hc,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
i,asset_registration,applicable,passed,registered_contract_listing,2013-10-18,2026-07-10
i,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
i,contract_universe,applicable,passed,contract_universe_present,2013-10-18,2026-07-10
i,main_contract_map,applicable,passed,rank1_mapping_present,2013-10-18,2026-07-07
i,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
i,trading_parameter,applicable,passed,trading_parameters_present,2013-10-18,2026-07-10
i,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ic,asset_registration,applicable,passed,registered_contract_listing,2015-04-16,2026-07-10
ic,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ic,contract_universe,applicable,passed,contract_universe_present,2015-04-16,2026-07-10
ic,main_contract_map,applicable,passed,rank1_mapping_present,2015-04-16,2026-06-24
ic,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ic,trading_parameter,applicable,passed,trading_parameters_present,2015-04-16,2026-07-10
ic,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
if,asset_registration,applicable,passed,registered_contract_listing,2010-04-16,2026-07-10
if,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
if,contract_universe,applicable,passed,contract_universe_present,2010-04-16,2026-07-10
if,main_contract_map,applicable,passed,rank1_mapping_present,2010-04-16,2026-06-24
if,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
if,trading_parameter,applicable,passed,trading_parameters_present,2010-04-16,2026-07-10
if,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ih,asset_registration,applicable,passed,registered_contract_listing,2015-04-16,2026-07-10
ih,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ih,contract_universe,applicable,passed,contract_universe_present,2015-04-16,2026-07-10
ih,main_contract_map,applicable,passed,rank1_mapping_present,2015-04-16,2026-06-24
ih,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ih,trading_parameter,applicable,passed,trading_parameters_present,2015-04-16,2026-07-10
ih,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
im,asset_registration,applicable,passed,registered_contract_listing,2022-07-22,2026-07-10
im,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2022-07-22,2026-07-07
im,contract_universe,applicable,passed,contract_universe_present,2022-07-22,2026-07-10
im,main_contract_map,applicable,passed,rank1_mapping_present,2022-07-22,2026-06-24
im,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
im,trading_parameter,applicable,passed,trading_parameters_present,2022-07-22,2026-07-10
im,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
j,asset_registration,applicable,passed,registered_contract_listing,2011-04-15,2026-07-10
j,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
j,contract_universe,applicable,passed,contract_universe_present,2011-04-15,2026-07-10
j,main_contract_map,applicable,passed,rank1_mapping_present,2011-04-15,2026-07-07
